Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
23,5.507655,0.010842,5.507655,0.010842,5.507655,0.010842,0.000000,0.000000,5.507655,0.010842,0.146227,0.000060,0.146227,0.000060,0.010554,21.000000,2936,2428,512,508,4.779528,0,36.000000,3
24,5.313736,0.010522,5.310458,0.010516,5.310458,0.010516,0.000000,0.003278,5.310458,0.010516,0.054979,0.000051,0.051701,0.000048,0.010413,3.000000,1592,1087,512,505,2.152475,0,36.000000,0
25,7.404299,0.011923,7.245464,0.011667,7.245464,0.011667,0.000000,0.158835,7.245464,0.011667,0.342071,0.000143,0.183236,0.000077,0.011372,0.000000,3013,2392,512,621,3.851852,0,36.000000,2
26,2.672442,0.011721,2.672442,0.011721,2.672442,0.011721,0.000000,0.000000,2.672442,0.011721,0.243692,0.000069,0.243692,0.000069,0.010652,3.000000,3763,3535,512,228,15.504386,0,39.000000,1
27,2.372625,0.010640,2.370858,0.010632,2.370858,0.010632,0.000000,0.001768,2.370858,0.010632,0.059442,0.000049,0.057674,0.000048,0.010373,3.000000,1429,1206,512,223,5.408072,0,39.000000,0
28,5.870118,0.010227,5.867554,0.010222,5.867554,0.010222,0.000000,0.002564,5.867554,0.010222,0.036246,0.000040,0.033682,0.000038,0.010164,3.000000,1471,897,512,574,1.562718,0,39.000000,3
29,4.698072,0.010303,4.698072,0.010303,4.698072,0.010303,0.000000,0.000000,4.698072,0.010303,0.104663,0.000055,0.104663,0.000055,0.010073,2.999000,2351,1895,512,456,4.155702,0,41.999000,0
30,4.129217,0.010427,4.129217,0.010427,4.129217,0.010427,0.000000,0.000000,4.129217,0.010427,0.034639,0.000038,0.034639,0.000038,0.010340,6.000000,1303,907,512,396,2.290404,0,45.000000,3
31,4.384540,0.009988,4.384540,0.009988,4.384540,0.009988,0.000000,0.000000,4.384540,0.009988,0.026946,0.000030,0.026946,0.000030,0.009926,9.000000,1335,896,512,439,2.041002,0,45.000000,2
32,6.480313,0.010729,6.480313,0.010729,6.480313,0.010729,0.000000,0.000000,6.480313,0.010729,0.131872,0.000061,0.131872,0.000061,0.010511,6.000000,2762,2158,512,604,3.572848,0,45.000000,1
33,1.412156,0.012722,1.412156,0.012722,1.412156,0.012722,0.000000,0.000000,1.412156,0.012722,0.202336,0.000067,0.202336,0.000067,0.010899,6.001000,3135,3024,512,111,27.243243,0,48.000000,0
34,4.111723,0.010625,3.952888,0.010214,3.952888,0.010214,0.000000,0.158835,3.952888,0.010214,0.230163,0.000252,0.071329,0.000078,0.010030,0.000000,1301,914,512,387,2.361757,0,48.000000,0
35,0.214686,0.021469,0.213389,0.021339,0.213389,0.021339,0.000000,0.001297,0.213389,0.021339,0.119099,0.000059,0.117802,0.000058,0.009559,3.000000,2024,2014,512,10,201.400000,0,48.000000,2
36,5.584885,0.010420,5.581442,0.010413,5.581442,0.010413,0.000000,0.003443,5.581442,0.010413,0.040926,0.000043,0.037483,0.000040,0.010343,3.000000,1481,945,512,536,1.763060,0,48.000000,1
37,4.902542,0.011244,4.902296,0.011244,4.902296,0.011244,0.000000,0.000247,4.902296,0.011244,0.202677,0.000068,0.202431,0.000068,0.010780,3.000000,3422,2986,512,436,6.848624,0,48.000000,3
38,4.814285,0.010009,4.814285,0.010009,4.814285,0.010009,0.000000,0.000000,4.814285,0.010009,0.078261,0.000072,0.078261,0.000072,0.009846,3.000000,1564,1083,512,481,2.251559,0,51.000000,2
39,9.247625,0.010207,9.243804,0.010203,9.243804,0.010203,0.000000,0.003820,9.243804,0.010203,0.037676,0.000042,0.033855,0.000038,0.010166,3.000000,1804,898,512,906,0.991170,0,51.000000,3
40,0.847450,0.011299,0.809442,0.010793,0.809442,0.010793,0.000000,0.038008,0.809442,0.010793,0.093374,0.000086,0.055366,0.000051,0.010054,0.000000,1160,1085,512,75,14.466667,0,51.000000,2
41,2.020212,0.010861,2.020212,0.010861,2.020212,0.010861,0.000000,0.000000,2.020212,0.010861,0.137905,0.000063,0.137905,0.000063,0.010120,6.000000,2373,2187,512,186,11.758065,0,54.000000,1
42,2.334275,0.009849,2.334275,0.009849,2.334275,0.009849,0.000000,0.000000,2.334275,0.009849,0.036597,0.000037,0.036597,0.000037,0.009695,6.000000,1213,976,512,237,4.118143,0,54.000000,0
43,3.161216,0.010468,3.161216,0.010468,3.161216,0.010468,0.000000,0.000000,3.161216,0.010468,0.116100,0.000058,0.116100,0.000058,0.010083,3.000000,2318,2016,512,302,6.675497,0,57.000000,0
44,0.284061,0.013527,0.284061,0.013527,0.284061,0.013527,0.000000,0.000000,0.284061,0.013527,0.039145,0.000043,0.039145,0.000043,0.011663,3.000000,938,917,512,21,43.666667,0,57.000000,1
45,7.411832,0.010294,7.411832,0.010294,7.411832,0.010294,0.000000,0.000000,7.411832,0.010294,0.104859,0.000055,0.104859,0.000055,0.010149,6.000000,2622,1902,512,720,2.641667,0,57.000000,2
