Time (sec),request_completion
3.40594618062045,1
6.32719910970736,2
6.516139722988092,3
6.7277787386457195,4
9.44509327981601,5
11.382854263788108,6
15.231567989970024,7
15.29662539512397,8
17.569931415891357,9
18.064150792267633,10
18.188251624651603,11
18.586500384007124,12
18.806884778219423,13
19.355251887452916,14
23.268857046577235,15
24.975942730137845,16
27.4923892534704,17
27.655769040993665,18
29.9223435692609,19
35.60144163146487,20
36.394817938844916,21
38.27876950114484,22
41.3137361694394,23
41.37262544496601,24
41.50765490751867,25
41.672441518033125,26
43.27827638610438,27
43.40429916115755,28
44.87011805371063,29
46.697071689472835,30
48.214686214023885,31
49.12921730170649,32
49.38453956455582,33
49.412156268643834,34
51.48031335150386,35
51.84745031739247,36
52.11172309145536,37
52.90254241526724,38
53.58488482854057,39
55.81428522610479,40
56.0202120210775,41
56.33427549656536,42
57.284061022241616,43
60.16121585079083,44
60.24762472199566,45
63.93583225614383,46
64.30583885642051,47
64.41183164393256,48
64.50828462702263,49
64.7227467119536,50
70.1885775965682,51
70.29610853091644,52
70.4160960439057,53
70.99401975334216,54
71.28762881104184,55
72.36161190352281,56
74.41768753632398,57
75.9260178567596,58
77.80082653727632,59
78.0269488546668,60
78.19727432826282,61
79.42565924272397,62
81.50007194007084,63
81.52281091794889,64
84.53114179260209,65
85.79083318194486,66
86.74912876848097,67
87.3238201081934,68
87.96557175480058,69
88.29825610597499,70
88.3035181570496,71
89.04682534041648,72
90.37092814408119,73
91.53369230323747,74
92.91564921399022,75
94.68069605235021,76
96.72978320247483,77
96.93188383242516,78
97.52096111416107,79
100.26629783675716,80
101.69891646134252,81
102.06803185889808,82
103.16723907378605,83
103.45013459349778,84
106.32891956262635,85
108.83386886104113,86
108.96265862512008,87
111.46979401170087,88
111.62316868444319,89
117.94969497150932,90
118.96271618006207,91
120.45467788370314,92
120.81176134287762,93
121.1967373676577,94
123.23491589980448,95
123.57110724664392,96
123.62959921017057,97
126.40461981056501,98
126.70080033428664,99
126.97707416524828,100
133.24107386803837,101
134.64060058839598,102
135.13988395624148,103
136.95475356911786,104
138.2854098694179,105
138.30611811336277,106
138.7661541040736,107
141.17506402719113,108
141.3415950590131,109
141.48136463945664,110
144.13483906842416,111
144.3116706137027,112
144.97979524500832,113
147.41324354996348,114
147.4946051248882,115
147.89822308103624,116
151.48358374403327,117
151.84163338720424,118
152.70325877939862,119
153.30163075156102,120
155.37721120537324,121
156.4905456201072,122
157.15247191495612,123
160.24980286025172,124
160.277922008877,125
161.72010391704714,126
162.3257955648082,127
164.20146542016323,128
