cdf,prefill_e2e_time,replica
0.0,0.026945600168545525,0
0.01,0.029330654299704974,0
0.02,0.03171570843086442,0
0.03,0.03410076256202387,0
0.04,0.034884105220575064,0
0.05,0.03520028203294885,0
0.06,0.03551645884532263,0
0.07,0.03578172681987326,0
0.08,0.03600506986915775,0
0.09,0.03622841291844225,0
0.1,0.03640147675907812,0
0.11,0.0364689542615519,0
0.12,0.03653643176402568,0
0.13,0.0366352739341192,0
0.14,0.037026853001997005,0
0.15,0.03741843206987481,0
0.16,0.03781001113775261,0
0.17,0.03980193003987813,0
0.18,0.042030936324855155,0
0.19,0.04425994260983218,0
0.2,0.045271515642284044,0
0.21,0.045613500385847064,0
0.22,0.04595548512941008,0
0.23,0.04649776712656658,0
0.24,0.04731738378254484,0
0.25,0.04813700043852309,0
0.26,0.04909066497863467,0
0.27,0.05060286236930177,0
0.28,0.052115059759968864,0
0.29,0.05362725715063595,0
0.3,0.05406698495965898,0
0.31,0.05447096378262721,0
0.32,0.05487494260559544,0
0.33,0.05600561450539189,0
0.34,0.057389049214519906,0
0.35000000000000003,0.05877248392364791,0
0.36,0.06015493533149226,0
0.37,0.061536464894383164,0
0.38,0.06291799445727406,0
0.39,0.0639718029076807,0
0.4,0.064224515305348,0
0.41000000000000003,0.06447722770301531,0
0.42,0.06477673124536779,0
0.43,0.06575470638565506,0
0.44,0.06673268152594233,0
0.45,0.0677106566662296,0
0.46,0.06882078795468857,0
0.47000000000000003,0.06995633388702671,0
0.48,0.07109187981936486,0
0.49,0.0719613258145311,0
0.5,0.0726627086914835,0
0.51,0.0733640915684359,0
0.52,0.0741884737350162,0
0.53,0.07520760477684067,0
0.54,0.07622673581866515,0
0.55,0.07712880928600185,0
0.56,0.07742218336600218,0
0.5700000000000001,0.07771555744600249,0
0.58,0.07800893152600281,0
0.59,0.08167620411856702,0
0.6,0.08557615936717011,0
0.61,0.08947611461577325,0
0.62,0.09309332243038027,0
0.63,0.09659486084017077,0
0.64,0.10009639924996122,0
0.65,0.10226566070211761,0
0.66,0.10301382673279762,0
0.67,0.10376199276347763,0
0.68,0.10434474798406938,0
0.6900000000000001,0.10445194712565745,0
0.7000000000000001,0.1045591462672455,0
0.71,0.10466484856489693,0
0.72,0.10472564554444971,0
0.73,0.10478644252400252,0
0.74,0.1048472395035553,0
0.75,0.1048590066608881,0
0.76,0.1048590066608881,0
0.77,0.1048590066608881,0
0.78,0.10688232219907845,0
0.79,0.11036692118151743,0
0.8,0.11385152016395637,0
0.81,0.11948026811321215,0
0.8200000000000001,0.12900746872940724,0
0.8300000000000001,0.13853466934560255,0
0.84,0.14800841702206988,0
0.85,0.15712135735537425,0
0.86,0.16623429768867873,0
0.87,0.1753472380219831,0
0.88,0.18273480784193122,0
0.89,0.18993751653544821,0
0.9,0.1971402252289653,0
0.91,0.20006685993967083,0
0.92,0.2009572689442757,0
0.93,0.20184767794888062,0
0.9400000000000001,0.20428541604879885,0
0.9500000000000001,0.20860205376445487,0
0.96,0.21291869148011086,0
0.97,0.2172337987788458,0
0.98,0.22154365893385125,0
0.99,0.22585351908885676,0
1.0,0.2301633792438622,0
0.0,0.030614565967240992,1
0.01,0.031143235505898304,1
0.02,0.031671905044555616,1
0.03,0.032200574583212925,1
0.04,0.03320441164594996,1
0.05,0.034445832470726856,1
0.06,0.03568725329550375,1
0.07,0.03677056368321487,1
0.08,0.03753765319679445,1
0.09,0.038304742710374026,1
0.1,0.039071832223953606,1
0.11,0.039071832223953606,1
0.12,0.039071832223953606,1
0.13,0.039071832223953606,1
0.14,0.039086425138239636,1
0.15,0.039108314509668674,1
0.16,0.03913020388109771,1
0.17,0.039179490241546586,1
0.18,0.039283570580035135,1
0.19,0.03938765091852368,1
0.2,0.03949173125701222,1
0.21,0.0399220073052593,1
0.22,0.04035228335350638,1
0.23,0.04078255940175346,1
0.24,0.04246194601211072,1
0.25,0.044765887903523094,1
0.26,0.047069829794935465,1
0.27,0.048605791055877035,1
0.28,0.048605791055877035,1
0.29,0.048605791055877035,1
0.3,0.048605791055877035,1
0.31,0.04866248889893967,1
0.32,0.048719186742002304,1
0.33,0.048775884585064946,1
0.34,0.05026670697551197,1
0.35000000000000003,0.05247459163965118,1
0.36,0.05468247630379039,1
0.37,0.05615553298137144,1
0.38,0.05615893368583613,1
0.39,0.05616233439030083,1
0.4,0.05616573509476552,1
0.41000000000000003,0.05664535520841269,1
0.42,0.057124975322059866,1
0.43,0.05760459543570704,1
0.44,0.05897485563261284,1
0.45,0.06079043587114796,1
0.46,0.06260601610968308,1
0.47000000000000003,0.06500326546082959,1
0.48,0.06856385303719888,1
0.49,0.0721244406135682,1
0.5,0.0756850281899375,1
0.51,0.08231607609654007,1
0.52,0.08894712400314266,1
0.53,0.09557817190974519,1
0.54,0.09819583476857617,1
0.55,0.09880680510352136,1
0.56,0.09941777543846655,1
0.5700000000000001,0.10016998884525563,1
0.58,0.10120468839573249,1
0.59,0.10223938794620935,1
0.6,0.1032740874966862,1
0.61,0.10731178505858986,1
0.62,0.1113494826204935,1
0.63,0.11538718018239712,1
0.64,0.1197609553333791,1
0.65,0.12430276927890027,1
0.66,0.12884458322442144,1
0.67,0.13232155136852272,1
0.68,0.13366882790978424,1
0.6900000000000001,0.13501610445104575,1
0.7000000000000001,0.13636338099230727,1
0.71,0.13682591519677842,1
0.72,0.13728844940124957,1
0.73,0.13775098360572074,1
0.74,0.13821646230903006,1
0.75,0.13868341326175848,1
0.76,0.1391503642144869,1
0.77,0.1408022102810434,1
0.78,0.14482384657525602,1
0.79,0.14884548286946866,1
0.8,0.15286711916368123,1
0.81,0.15891646009533594,1
0.8200000000000001,0.1649658010269906,1
0.8300000000000001,0.1710151419586453,1
0.84,0.17595609592739833,1
0.85,0.1803428564147005,1
0.86,0.18472961690200265,1
0.87,0.19016161370541343,1
0.88,0.19768408314104133,1
0.89,0.20520655257666928,1
0.9,0.21272902201229726,1
0.91,0.2163304620378682,1
0.92,0.21993190206343913,1
0.93,0.22353334208901007,1
0.9400000000000001,0.2285254580667228,1
0.9500000000000001,0.23421291202050654,1
0.96,0.2399003659742902,1
0.97,0.24953906303515283,1
0.98,0.2670802463101736,1
0.99,0.2846214295851943,1
1.0,0.30216261286021506,1
0.0,0.026945600168545525,2
0.01,0.02884651932652247,2
0.02,0.03074743848449941,2
0.03,0.032376797762765364,2
0.04,0.032376797762765364,2
0.05,0.032376797762765364,2
0.06,0.032376797762765364,2
0.07,0.032376797762765364,2
0.08,0.032376797762765364,2
0.09,0.032376797762765364,2
0.1,0.032376797762765364,2
0.11,0.032376797762765364,2
0.12,0.03298276386908583,2
0.13,0.034043204555146644,2
0.14,0.03510364524120746,2
0.15,0.03540662829436769,2
0.16,0.03540662829436769,2
0.17,0.03540662829436769,2
0.18,0.03540662829436982,2
0.19,0.035406628294372314,2
0.2,0.0354066282943748,2
0.21,0.03564103702065147,2
0.22,0.035875445746928136,2
0.23,0.03610655761484551,2
0.24,0.03631788833260714,2
0.25,0.036529219050368766,2
0.26,0.03691933582914544,2
0.27,0.03775641776045973,2
0.28,0.038593499691774016,2
0.29,0.039646370854174856,2
0.3,0.04098696099135779,2
0.31,0.04232755112854072,2
0.32,0.04408126812954834,2
0.33,0.04614483027842447,2
0.34,0.0482083924273006,2
0.35000000000000003,0.049001061831496884,2
0.36,0.04928537413782123,2
0.37,0.04956968644414559,2
0.38,0.050114043535021045,2
0.39,0.05070174142332169,2
0.4,0.05128943931162233,2
0.41000000000000003,0.05128943931162544,2
0.42,0.05128943931162855,2
0.43,0.051745507236034875,2
0.44,0.054937982706860566,2
0.45,0.05813045817768625,2
0.46,0.060840823393328955,2
0.47000000000000003,0.06234591297101417,2
0.48,0.0638510025486994,2
0.49,0.0663641952627408,2
0.5,0.07022152549192384,2
0.51,0.07407885572110688,2
0.52,0.07573199724790243,2
0.53,0.0757319972479074,2
0.54,0.07573199724791238,2
0.55,0.07636422124791231,2
0.56,0.07724933484791023,2
0.5700000000000001,0.07813444844790816,2
0.58,0.07830647404790839,2
0.59,0.07835965164790899,2
0.6,0.0784128292479096,2
0.61,0.08084898059908248,2
0.62,0.08328513195025539,2
0.63,0.085773286824048,2
0.64,0.08857346283355876,2
0.65,0.09137363884306948,2
0.66,0.09452228877382327,2
0.67,0.0985421235076846,2
0.68,0.10256195824154589,2
0.6900000000000001,0.1048590066608952,2
0.7000000000000001,0.1048590066608952,2
0.71,0.1048590066608952,2
0.72,0.10757319603070527,2
0.73,0.11232302742787291,2
0.74,0.11707285882504051,2
0.75,0.11859719631595489,2
0.76,0.11883133624436795,2
0.77,0.119065476172781,2
0.78,0.12275029620164625,2
0.79,0.12701022958058686,2
0.8,0.13127016295952743,2
0.81,0.13922736316247486,2
0.8200000000000001,0.14718456336542224,2
0.8300000000000001,0.15408066270624657,2
0.84,0.15461015687433247,2
0.85,0.15513965104241834,2
0.86,0.15687435736611657,2
0.87,0.16162209407884587,2
0.88,0.1663698307915752,2
0.89,0.17143450451867398,2
0.9,0.17692176093159873,2
0.91,0.18240901734452353,2
0.92,0.1874923410830505,2
0.93,0.1922727153157791,2
0.9400000000000001,0.19705308954850762,2
0.9500000000000001,0.20624460647929688,2
0.96,0.2172005804893104,2
0.97,0.22815655449932373,2
0.98,0.2634263365731567,2
0.99,0.30274841999095997,2
1.0,0.3420705034087632,2
0.0,0.026945600168545525,3
0.01,0.02846633549492708,3
0.02,0.029987070821308637,3
0.03,0.03150780614769019,3
0.04,0.032648300811908657,3
0.05,0.03328180792657633,3
0.06,0.03391531504124402,3
0.07,0.03454882215591169,3
0.08,0.03474651544463967,3
0.09,0.034871573095711025,3
0.1,0.03499663074678239,3
0.11,0.03517877816940256,3
0.12,0.035503650020894784,3
0.13,0.035828521872387,3
0.14,0.03615339372387922,3
0.15,0.03653211888741055,3
0.16,0.03693238537575752,3
0.17,0.03733265186410449,3
0.18,0.03773158121748111,3
0.19,0.038122487761035585,3
0.2,0.03851339430459007,3
