cdf,decode_time_execution_plus_preemption_normalized,replica
0.0,0.007495015440817099,0
0.01,0.008097838991486228,0
0.02,0.008700662542155357,0
0.03,0.009303486092824484,0
0.04,0.009481879034724645,0
0.05,0.009536479715733856,0
0.06,0.009591080396743067,0
0.07,0.009620807233286935,0
0.08,0.009630049727329929,0
0.09,0.009639292221372924,0
0.1,0.00965048237686514,0
0.11,0.00966576262140072,0
0.12,0.009681042865936303,0
0.13,0.009694933568030573,0
0.14,0.009695855207339267,0
0.15,0.00969677684664796,0
0.16,0.009697698485956655,0
0.17,0.009704732613210603,0
0.18,0.009712672294234219,0
0.19,0.009720611975257833,0
0.2,0.009733544688386001,0
0.21,0.009749223569171675,0
0.22,0.009764902449957348,0
0.23,0.00978032152174038,0
0.24,0.009795380857981295,0
0.25,0.009810440194222208,0
0.26,0.009822631584409073,0
0.27,0.009822873199370735,0
0.28,0.009823114814332396,0
0.29,0.009823356429294057,0
0.3,0.009826980068766512,0
0.31,0.00983071644238933,0
0.32,0.009834452816012145,0
0.33,0.009856467936503126,0
0.34,0.009884840881991727,0
0.35000000000000003,0.00991321382748033,0
0.36,0.009935606170200758,0
0.37,0.009952391697826022,0
0.38,0.009969177225451285,0
0.39,0.009982049709632634,0
0.4,0.009985356976506632,0
0.41000000000000003,0.00998866424338063,0
0.42,0.009992520376582156,0
0.43,0.010004335071532857,0
0.44,0.01001614976648356,0
0.45,0.010027964461434261,0
0.46,0.010036426382598728,0
0.47000000000000003,0.010044243539573535,0
0.48,0.010052060696548341,0
0.49,0.010058540555373967,0
0.5,0.010064175804842214,0
0.51,0.01006981105431046,0
0.52,0.010074453074775589,0
0.53,0.010077522482652444,0
0.54,0.0100805918905293,0
0.55,0.010085500596509532,0
0.56,0.010099973652627318,0
0.5700000000000001,0.010114446708745105,0
0.58,0.010128919764862892,0
0.59,0.01013085562523085,0
0.6,0.010131926851409167,0
0.61,0.010132998077587482,0
0.62,0.010136027063121446,0
0.63,0.01013985695020999,0
0.64,0.010143686837298535,0
0.65,0.010147658265892527,0
0.66,0.010151780672092327,0
0.67,0.010155903078292129,0
0.68,0.01016389459155954,0
0.6900000000000001,0.010183009787646335,0
0.7000000000000001,0.01020212498373313,0
0.71,0.01022112217783971,0
0.72,0.010236579312539868,0
0.73,0.010252036447240025,0
0.74,0.010267493581940183,0
0.75,0.010296119072986411,0
0.76,0.010327904969555697,0
0.77,0.010359690866124982,0
0.78,0.010380285183696072,0
0.79,0.010392796694212909,0
0.8,0.010405308204729746,0
0.81,0.010425783246844017,0
0.8200000000000001,0.010460737437317253,0
0.8300000000000001,0.01049569162779049,0
0.84,0.010526411316543126,0
0.85,0.010528548118681709,0
0.86,0.010530684920820294,0
0.87,0.010532821722958876,0
0.88,0.01054997316815347,0
0.89,0.010568733325104064,0
0.9,0.01058749348205466,0
0.91,0.010651678173245097,0
0.92,0.010737493595025934,0
0.93,0.010823309016806773,0
0.9400000000000001,0.010874416894517618,0
0.9500000000000001,0.010883379897286332,0
0.96,0.010892342900055045,0
0.97,0.010900834358446335,0
0.98,0.010907709093257884,0
0.99,0.010914583828069434,0
1.0,0.010921458562880983,0
0.0,0.00647535594740134,1
0.01,0.007381964077504133,1
0.02,0.008288572207606926,1
0.03,0.009195180337709719,1
0.04,0.009514225261633704,1
0.05,0.009539488582468284,1
0.06,0.009564751903302865,1
0.07,0.009584676128670724,1
0.08,0.009593922163105137,1
0.09,0.009603168197539548,1
0.1,0.00961241423197396,1
0.11,0.009633707171661732,1
0.12,0.009655000111349503,1
0.13,0.009676293051037274,1
0.14,0.009686201851213263,1
0.15,0.009690418581633359,1
0.16,0.009694635312053454,1
0.17,0.009705085783300007,1
0.18,0.009728003736199474,1
0.19,0.009750921689098939,1
0.2,0.009773839641998404,1
0.21,0.009775746817979235,1
0.22,0.009777653993960066,1
0.23,0.009779561169940899,1
0.24,0.00978407315526275,1
0.25,0.009789887545255112,1
0.26,0.009795701935247475,1
0.27,0.009805528811093535,1
0.28,0.009823380658646992,1
0.29,0.009841232506200451,1
0.3,0.009859084353753909,1
0.31,0.00992564818204013,1
0.32,0.00999221201032635,1
0.33,0.01005877583861257,1
0.34,0.010084495103903126,1
0.35000000000000003,0.01008979208769585,1
0.36,0.010095089071488575,1
0.37,0.010100751289778588,1
0.38,0.010107143977063181,1
0.39,0.010113536664347772,1
0.4,0.010119929351632365,1
0.41000000000000003,0.010159314077873703,1
0.42,0.010198698804115041,1
0.43,0.010238083530356379,1
0.44,0.010253174276128832,1
0.45,0.010256118031666844,1
0.46,0.010259061787204857,1
0.47000000000000003,0.010263243061282453,1
0.48,0.010269899372439223,1
0.49,0.01027655568359599,1
0.5,0.01028321199475276,1
0.51,0.010301210435761297,1
0.52,0.010319208876769832,1
0.53,0.010337207317778369,1
