cdf,request_model_execution_time
0.0,0.06803185889807972
0.01,0.145699807291267
0.02,0.19575966910721998
0.03,0.2706333931154357
0.04,0.2867075399895109
0.05,0.30514470331082255
0.06,0.3138674150664304
0.07,0.3267707302275058
0.08,0.3965462383201651
0.09,0.4088980185061286
0.1,0.4355383608601358
0.11,0.454390345586527
0.12,0.47257096236206875
0.13,0.48698719260363127
0.14,0.5161181517636355
0.15,0.5794576260327147
0.16,0.6689240187250826
0.17,0.7916940846635403
0.18,0.8857937586384786
0.19,0.9350692805060762
0.2,0.9548804329532506
0.21,0.9652804220058507
0.22,1.2255437412450152
0.23,1.2967695216787674
0.24,1.3024158261887313
0.25,1.3855769155880557
0.26,1.414509558495536
0.27,1.5120225135753673
0.28,1.7713809598688692
0.29,1.9423021052762497
0.3,2.0229733530114724
0.31,2.129607071695899
0.32,2.310724854569718
0.33,2.367565229188193
0.34,2.422199989969973
0.35000000000000003,2.619513162084454
0.36,2.6638060577352354
0.37,2.698651711909663
0.38,2.7296263964471184
0.39,2.865700564228401
0.4,2.976293390990563
0.41000000000000003,3.1423071888586027
0.42,3.1687941160568363
0.43,3.212823371730314
0.44,3.2971720985560706
0.45,3.3270142351058962
0.46,3.337143544190479
0.47000000000000003,3.3554066817252357
0.48,3.404172809536565
0.49,3.5195901989995
0.5,3.5511245196234125
0.51,3.616146058559529
0.52,3.6575702927255214
0.53,3.709163639636998
0.54,3.770145381807837
0.55,3.8101208427148654
0.56,3.905510246438822
0.5700000000000001,3.92632912092365
0.58,3.94402378655247
0.59,3.97432892838068
0.6,4.007502792539287
0.61,4.140146969934276
0.62,4.163399612490756
0.63,4.189649194278944
0.64,4.21159570558348
0.65,4.259425097330112
0.66,4.29699849939613
0.67,4.355433357741463
0.68,4.399702648696587
0.6900000000000001,4.46252167854847
0.7000000000000001,4.495374147754094
0.71,4.551069911963787
0.72,4.7076686823065
0.73,4.77025763985812
0.74,4.813816185221703
0.75,4.915660113898582
0.76,4.976171984914476
0.77,5.158111830130738
0.78,5.27936105973895
0.79,5.295832513875433
0.8,5.3276659804953415
0.81,5.403663118521314
0.8200000000000001,5.51637361869059
0.8300000000000001,5.574650842132476
0.84,5.64988665608162
0.85,5.74577712037611
0.86,5.8783551986697535
0.87,5.970696037921076
0.88,6.055222327243212
0.89,6.163386992962521
0.9,6.35173178203777
0.91,6.486715744607025
0.92,6.492226609901488
0.93,6.520474713421502
0.9400000000000001,6.769335752729316
0.9500000000000001,7.101406019230376
0.96,7.275325407289599
0.97,7.28789858964395
0.98,7.367059120027162
0.99,7.482242321588688
1.0,9.243804395666759
