Request Id,decode_time_execution_plus_preemption_normalized
0,0.010220623560591318
3,0.009339455693366463
2,0.009701311617097934
1,0.010098620394017058
5,0.009859084353753909
6,0.00971485343531869
9,0.009823364223325078
4,0.010115350190136629
7,0.010406867054430648
8,0.010152115478035328
10,0.009723429281427503
13,0.009536812179795823
11,0.010288368052778716
12,0.010251211772436824
14,0.010526135600138148
15,0.010390467598912517
18,0.009497383047743982
16,0.010157057285400973
17,0.009822584820222946
20,0.009683150955360369
22,0.009581594117192586
19,0.010145663553215204
24,0.010413380146998674
27,0.010373020435654037
23,0.010553992806771996
26,0.010652410158287919
21,0.011549522798281439
25,0.011372348885263752
28,0.01016353978999608
29,0.010073264916887774
35,0.009558728928990234
30,0.01033984338013686
31,0.009926182151223865
33,0.010899281998972759
32,0.010510663728999598
40,0.010054354037710975
34,0.010029870057394051
37,0.010779506702265237
36,0.010343206798114547
38,0.0098462044342139
41,0.010119929351632365
42,0.009694844377129731
44,0.011662677402201536
43,0.010083166232619565
39,0.010165506605485783
48,0.01042699650070657
49,0.009615738768811744
45,0.010148573107321755
46,0.010261024290896864
47,0.010450182953199027
51,0.009727169154697637
54,0.010058008593979888
55,0.01053302851026261
52,0.01028321199475276
50,0.01015896163773069
53,0.009947724764367845
56,0.010396307392385186
58,0.010807879290763175
60,0.009683390697599865
57,0.010270485285430536
59,0.010411384291993044
61,0.009715870099742405
62,0.010133309078736026
65,0.017276395918747665
66,0.0107632639324729
63,0.009846087767101904
64,0.009978911876564493
73,0.00999175813819824
68,0.011891024648418326
70,0.011022739718262078
67,0.009926942672071589
69,0.010761817000921152
74,0.010337734196996852
72,0.010160497545417629
71,0.010435328032963003
76,0.00963929388647631
75,0.010129853510418878
78,0.00957986207087656
77,0.01045596573976602
79,0.010580762405386808
82,0.009685490301993283
83,0.00647535594740134
80,0.00989201501440977
85,0.01004537579309093
81,0.01059354514558711
84,0.010703642086543782
86,0.009774006316219996
87,0.00961241423197396
88,0.009572841755746235
92,0.009727270729388553
89,0.009651696911496543
93,0.010579287981085095
90,0.009780196895267842
91,0.010055086692796653
96,0.009749806743067798
94,0.010120445313524256
95,0.010082453142290573
99,0.009459990794922008
98,0.009835417041463195
97,0.009773839641998404
101,0.00964555326572463
102,0.010308690112295519
100,0.009799578195242383
103,0.009724005811904135
105,0.009364817204250357
104,0.010497174139834519
106,0.010411928499539595
110,0.014158518420295252
107,0.009697817407157777
109,0.010191503288329396
112,0.007495015440817099
113,0.00940436234377431
111,0.009710127472908843
115,0.009439607539749772
108,0.010080963781374644
116,0.009754169868371599
114,0.009709451293822925
119,0.009697446465666852
118,0.009680731817521243
123,0.009364176664752854
120,0.010921458562880983
117,0.010870369086815618
121,0.010350429128557916
124,0.010955566569563795
122,0.010608397878175227
125,0.010644890804582292
127,0.009981089535378893
126,0.010024982391459675
