cdf,request_execution_plus_preemption_time_normalized,replica
0.0,0.009799399000039153,0
0.01,0.009805269862586213,0
0.02,0.009811140725133272,0
0.03,0.009817011587680334,0
0.04,0.009820088075202042,0
0.05,0.00982234953667469,0
0.06,0.009824610998147337,0
0.07,0.009829649640522738,0
0.08,0.009836975373053346,0
0.09,0.009844301105583956,0
0.1,0.009857996423161179,0
0.11,0.00988506786933629,0
0.12,0.009912139315511402,0
0.13,0.009937712474315845,0
0.14,0.009949301617660718,0
0.15,0.009960890761005592,0
0.16,0.009972479904350467,0
0.17,0.009988904636333625,0
0.18,0.01000604575181875,0
0.19,0.010023186867303874,0
0.2,0.010038824716995161,0
0.21,0.01005363577049984,0
0.22,0.010068446824004516,0
0.23,0.010077235298922313,0
0.24,0.010077684818873662,0
0.25,0.010078134338825009,0
0.26,0.010085311971931701,0
0.27,0.010120523409852328,0
0.28,0.010155734847772954,0
0.29,0.01019094628569358,0
0.3,0.010198712085592254,0
0.31,0.010205563030890196,0
0.32,0.010212413976188137,0
0.33,0.010227015412863937,0
0.34,0.010244312672627686,0
0.35000000000000003,0.010261609932391436,0
0.36,0.010273212983616449,0
0.37,0.010279477714336396,0
0.38,0.010285742445056341,0
0.39,0.010290763691158025,0
0.4,0.010292745308192842,0
0.41000000000000003,0.01029472692522766,0
0.42,0.010296704857936203,0
0.43,0.010298629367913759,0
0.44,0.010300553877891316,0
0.45,0.010302478387868873,0
0.46,0.010304460374964176,0
0.47000000000000003,0.010306453415351354,0
0.48,0.010308446455738534,0
0.49,0.010309631408254988,0
0.5,0.01031030598948467,0
0.51,0.010310980570714352,0
0.52,0.010313757390768273,0
0.53,0.01031986275562724,0
0.54,0.01032596812048621,0
0.55,0.010332092712225651,0
0.56,0.010338317283743566,0
0.5700000000000001,0.010344541855261482,0
0.58,0.010350766426779397,0
0.59,0.010373230963033489,0
0.6,0.010396815496855592,0
0.61,0.010420400030677695,0
0.62,0.010436125253738463,0
0.63,0.010448635304215049,0
0.64,0.010461145354691634,0
0.65,0.01047482565751045,0
0.66,0.010489754229494315,0
0.67,0.010504682801478179,0
0.68,0.01052503001338756,0
0.6900000000000001,0.0105609558150828,0
0.7000000000000001,0.01059688161677804,0
0.71,0.01063311514340962,0
0.72,0.010678580418131309,0
0.73,0.010724045692852997,0
0.74,0.010769510967574687,0
0.75,0.010806214287601538,0
0.76,0.010840814738501629,0
0.77,0.01087541518940172,0
0.78,0.010910210090961893,0
0.79,0.010945145429109905,0
0.8,0.010980080767257918,0
0.81,0.011007423768121272,0
0.8200000000000001,0.011020962519376155,0
0.8300000000000001,0.011034501270631039,0
0.84,0.01105029838367661,0
0.85,0.01108133943880933,0
0.86,0.01111238049394205,0
0.87,0.01114342154907477,0
0.88,0.011177564793036445,0
0.89,0.01121204041437265,0
0.9,0.011246516035708854,0
0.91,0.011336917902765201,0
0.92,0.011453951315402569,0
0.93,0.011570984728039937,0
0.9400000000000001,0.011787339330110462,0
0.9500000000000001,0.012124298233635544,0
0.96,0.012461257137160623,0
0.97,0.014191263245520912,0
0.98,0.020697431199030423,0
0.99,0.027203599152540007,0
1.0,0.03370976710604952,0
0.0,0.009796596284183917,1
0.01,0.00983298460484949,1
0.02,0.009869372925515062,1
0.03,0.009905761246180634,1
0.04,0.009919604915203514,1
0.05,0.00992217625840505,1
0.06,0.009924747601606587,1
0.07,0.009929833694504769,1
0.08,0.009939949286796246,1
0.09,0.009950064879087723,1
0.1,0.0099601804713792,1
0.11,0.009972970874143807,1
0.12,0.009985761276908412,1
0.13,0.009998551679673019,1
0.14,0.010051023450580905,1
0.15,0.010123335905560433,1
0.16,0.010195648360539962,1
0.17,0.010245281942203767,1
0.18,0.010249557777236129,1
0.19,0.01025383361226849,1
0.2,0.01025810944730085,1
0.21,0.010282259550333371,1
0.22,0.010306409653365892,1
0.23,0.01033055975639841,1
0.24,0.010347819122965302,1
0.25,0.010361633121299377,1
0.26,0.010375447119633452,1
0.27,0.010386119425371817,1
0.28,0.010390508345918759,1
0.29,0.0103948972664657,1
0.3,0.010399286187012642,1
0.31,0.010403441867252991,1
0.32,0.01040759754749334,1
0.33,0.01041175322773369,1
0.34,0.010432908552814603,1
0.35000000000000003,0.0104625637003158,1
0.36,0.010492218847816995,1
0.37,0.01051383489296135,1
0.38,0.010519372733392028,1
0.39,0.010524910573822705,1
0.4,0.010530448414253383,1
0.41000000000000003,0.010560205921976184,1
0.42,0.010589963429698987,1
0.43,0.010619720937421789,1
0.44,0.0106349344589644,1
0.45,0.010642875987416913,1
0.46,0.010650817515869427,1
0.47000000000000003,0.010662686067473842,1
0.48,0.010682408665382058,1
0.49,0.010702131263290272,1
0.5,0.010721853861198487,1
0.51,0.010723996387360496,1
0.52,0.010726138913522504,1
0.53,0.010728281439684512,1
0.54,0.010738624256716973,1
0.55,0.010753067219184662,1
0.56,0.01076751018165235,1
0.5700000000000001,0.010785560436170735,1
0.58,0.010810825274790515,1
0.59,0.010836090113410293,1
0.6,0.010861354952030071,1
0.61,0.010861917917353681,1
0.62,0.010862480882677291,1
0.63,0.010863043848000903,1
0.64,0.010876147367315214,1
0.65,0.010895521163624878,1
0.66,0.010914894959934541,1
0.67,0.010980868794655313,1
0.68,0.011140042706198304,1
0.6900000000000001,0.011299216617741291,1
0.7000000000000001,0.011458390529284282,1
0.71,0.011537243788964034,1
0.72,0.011616097048643787,1
0.73,0.011694950308323541,1
0.74,0.01173108231097529,1
0.75,0.011745853685113033,1
0.76,0.011760625059250778,1
0.77,0.011832619935244983,1
0.78,0.012019061814952107,1
0.79,0.01220550369465923,1
0.8,0.012391945574366351,1
0.81,0.012495180665072355,1
0.8200000000000001,0.012598415755778357,1
0.8300000000000001,0.01270165084648436,1
0.84,0.012894193103676522,1
0.85,0.013131388944111767,1
0.86,0.013368584784547012,1
0.87,0.013609828583953477,1
0.88,0.013859168301302387,1
0.89,0.014108508018651298,1
0.9,0.01435784773600021,1
0.91,0.014470613246394587,1
0.92,0.014583378756788966,1
0.93,0.014696144267183343,1
0.9400000000000001,0.015521349916153473,1
0.9500000000000001,0.016702775634411485,1
0.96,0.017884201352669486,1
0.97,0.019072365278293337,1
0.98,0.02027400561864886,1
0.99,0.021475645959004384,1
