Request Id,request_e2e_time_normalized
0,0.010778310698165981
3,0.012623042681052316
2,0.009904618937994627
1,0.010530448414253445
5,0.014357847736000334
6,0.009928559432450449
9,0.00997397527768526
4,0.01023841527662434
7,0.010629640106662896
8,0.010330750923794945
10,0.009840282792134575
13,0.010289480421177612
11,0.01072361909357584
12,0.010345016359745643
14,0.011635164341421719
15,0.010863231503108866
18,0.01025810944729999
16,0.010535357466840532
17,0.010077046790554826
20,0.00981676087345235
22,0.012736062543384394
19,0.010269979574211758
24,0.010522249840474063
27,0.010639575986394671
23,0.010841840369131241
26,0.01172123472821546
21,0.011873207807674356
25,0.01192318705500411
28,0.010226686504722346
29,0.010302788792703582
35,0.021468621402388522
30,0.010427316418450731
31,0.009987561650468844
33,0.012722128546340845
32,0.010728995615072616
40,0.011299337565232956
34,0.010624607471460878
37,0.011244363337768902
36,0.010419561247277177
38,0.01000890899398086
41,0.010861354952029558
42,0.009849263698588021
44,0.013526715344838857
43,0.01046760215493653
39,0.010207091304630975
48,0.01096332104775441
49,0.009818337266319605
45,0.010294210616572997
46,0.010399286187011957
47,0.010518366841767494
51,0.009811657134820139
54,0.01080090442430368
55,0.011063250343013253
52,0.010384656451854808
50,0.010309217955247264
53,0.010064706297972497
56,0.010664739244732248
58,0.011028140047077528
60,0.009796596284182961
57,0.010427247153402765
59,0.01070340989337275
61,0.009793493899831794
62,0.010205764427112785
65,0.01867181849817458
66,0.01177047264200695
63,0.009980902462385128
64,0.010139556910901185
73,0.011600718149764535
68,0.012391945574366448
70,0.011705009963738652
67,0.010078496854917084
69,0.011190302406647434
74,0.010807462000260242
72,0.010521327849738927
71,0.010777138823297314
76,0.009828631885088972
75,0.010290188382989044
78,0.009924296089629383
77,0.010893882202797755
79,0.010721853861198909
82,0.009814241677609165
83,0.02267728629936035
80,0.009969471468387678
85,0.010358104239269852
81,0.010889925055908401
84,0.011075962497635535
86,0.010351168012043922
87,0.011458390529289509
88,0.010386144740719772
92,0.010552166350103517
89,0.00981358090031037
93,0.02841736773144632
90,0.00992646183041046
91,0.010311394023729003
96,0.010747228903004908
94,0.010232398987518394
95,0.01025310511347618
99,0.010400507963205486
98,0.01002926919860878
97,0.009917890686404696
101,0.009936590944307
102,0.010960998292099537
100,0.010002815147265864
103,0.00979397938560842
105,0.011416394776715607
104,0.011169317950549902
106,0.014733732770646012
110,0.04376600679778164
107,0.00979939900003838
109,0.02188021088439288
112,0.033709767106039124
113,0.011543356063062523
111,0.01010100315991959
115,0.010331088749087058
108,0.010243856663861529
116,0.010324403230301555
114,0.009768156305083374
119,0.009960180471374296
118,0.009798039055792133
123,0.011171509317074845
120,0.011227998341071499
117,0.011002619695096978
121,0.010757699261544362
124,0.011154338215883778
122,0.010927810824139638
125,0.01100019984047527
127,0.010296580696000628
126,0.010218989037648785
