cdf,request_scheduling_delay
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36,0.0
0.37,0.0
0.38,0.0
0.39,0.0
0.4,0.0
0.41000000000000003,0.0
0.42,0.0
0.43,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47000000000000003,0.0
0.48,0.0
0.49,0.0
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.0
0.66,0.0
0.67,0.0
0.68,0.0
0.6900000000000001,0.0
0.7000000000000001,0.0
0.71,0.0
0.72,0.0
0.73,0.0
0.74,0.0
0.75,0.0
0.76,0.0
0.77,0.0
0.78,1.4807186470449657e-05
0.79,0.0005933318438972161
0.8,0.0015794643938207326
0.81,0.002118177317012952
0.8200000000000001,0.0025824119718537374
0.8300000000000001,0.0027654344787436886
0.84,0.003145386032524865
0.85,0.003434383885180026
0.86,0.003944050141426628
0.87,0.004561092322203704
0.88,0.005744900355854561
0.89,0.00705816698560952
0.9,0.008805818321505399
0.91,0.009202706839586875
0.92,0.009564198246669663
0.93,0.03800811062394871
0.9400000000000001,0.03800811062394871
0.9500000000000001,0.03800811062395333
0.96,0.03800811062396235
0.97,0.04629492128059175
0.98,0.11468795426003743
0.99,0.15883467213390645
1.0,0.24513505338182995
