cdf,request_execution_time,replica
0.0,0.13483906842419807,0
0.01,0.1907552481423909,0
0.02,0.24667142786058371,0
0.03,0.3025876075787765,0
0.04,0.33874097168975015,0
0.05,0.3691301812486182,0
0.06,0.3995193908074862,0
0.07,0.5066441127397071,0
0.08,0.676962786038218,0
0.09,0.847281459336729,0
0.1,0.9906001494115664,0
0.11,1.0772188747166886,0
0.12,1.163837600021811,0
0.13,1.2439868176907773,0
0.14,1.263753964088955,0
0.15,1.2835211104871327,0
0.16,1.3032882568853101,0
0.17,1.334544557720858,0
0.18,1.3675029555100897,0
0.19,1.4004613532993218,0
0.2,1.4125101179228576,0
0.21,1.4130585843052608,0
0.22,1.413607050687664,0
0.23,1.5250666141387414,0
0.24,1.7900953889156757,0
0.25,2.0551241636926103,0
0.26,2.2727821535765305,0
0.27,2.2930618730728893,0
0.28,2.313341592569248,0
0.29,2.333621312065607,0
0.3,2.3452501336938534,0
0.31,2.356590592059829,0
0.32,2.367931050425805,0
0.33,2.4976993885816205,0
0.34,2.6686600327512933,0
0.35000000000000003,2.839620676920965,0
0.36,2.9605631343059344,0
0.37,3.0346135415802435,0
0.38,3.1086639488545527,0
0.39,3.163221862185015,0
0.4,3.1701314569860735,0
0.41000000000000003,3.177041051787132,0
0.42,3.1844661287522764,0
0.43,3.199365697096669,0
0.44,3.2142652654410617,0
0.45,3.2291648337854544,0
0.46,3.256067159428087,0
0.47000000000000003,3.2852777076280733,0
0.48,3.31448825582806,0
0.49,3.3287974687075836,0
0.5,3.3336953119110255,0
0.51,3.338593155114468,0
0.52,3.349317193606203,0
0.53,3.3692660413044035,0
0.54,3.3892148890026044,0
0.55,3.4206888883036908,0
0.56,3.5120936759397834,0
0.5700000000000001,3.603498463575875,0
0.58,3.6949032512119664,0
0.59,3.773905878945818,0
0.6,3.8520531853071014,0
0.61,3.9302004916683857,0
0.62,4.00653518795533,0
0.63,4.082128361939136,0
0.64,4.157721535922942,0
0.65,4.212754486065335,0
0.66,4.245856530776887,0
0.67,4.2789585754884385,0
0.68,4.335082439642574,0
0.6900000000000001,4.457394034694131,0
0.7000000000000001,4.579705629745691,0
0.71,4.703878667589728,0
0.72,4.883894989208134,0
0.73,5.063911310826538,0
0.74,5.243927632444944,0
0.75,5.281234328618906,0
0.76,5.284290714686203,0
0.77,5.2873471007535,0
0.78,5.292558103495594,0
0.79,5.299325218280595,0
0.8,5.306092333065595,0
0.81,5.3136129708413185,0
0.8200000000000001,5.322503650418353,0
0.8300000000000001,5.331394329995388,0
0.84,5.366650266293049,0
0.85,5.579871685454933,0
0.86,5.79309310461682,0
0.87,6.006314523778705,0
0.88,6.157035948988796,0
0.89,6.301060946275479,0
0.9,6.445085943562163,0
0.91,6.491715867555063,0
0.92,6.4919671852175895,0
0.93,6.4922185028801165,0
0.9400000000000001,6.525596085475611,0
0.9500000000000001,6.599198418346854,0
0.96,6.672800751218097,0
0.97,6.771722747683961,0
0.98,6.957455019331382,0
0.99,7.143187290978805,0
1.0,7.328919562626225,0
0.0,0.06803185889807972,1
0.01,0.13284060790113,1
0.02,0.19764935690418028,1
0.03,0.2624581059072305,1
0.04,0.3062124055622599,1
0.05,0.3394394805432789,1
0.06,0.37266655552429784,1
0.07,0.3998454729420801,1
0.08,0.4149280752333889,1
0.09,0.43001067752469774,1
0.1,0.44509327981600655,1
0.11,0.4525034993814012,1
0.12,0.45991371894679595,1
0.13,0.4673239385121907,1
0.14,0.4743130600546126,1
0.15,0.4810916325855482,1
0.16,0.48787020511648377,1
0.17,0.4954314199182863,1
0.18,0.5045579192618227,1
0.19,0.5136844186053591,1
0.2,0.5228109179488954,1
0.21,0.5958138737863377,1
0.22,0.6688168296237799,1
0.23,0.7418197854612223,1
0.24,0.8062376342190773,1
0.25,0.8663629294371392,1
0.26,0.9264882246552011,1
0.27,1.0541779180410344,1
0.28,1.3169964077624066,1
0.29,1.5798148974837785,1
0.3,1.8426333872051521,1
0.31,1.8959069773668846,1
0.32,1.9491805675286167,1
0.33,2.0024541576903494,1
0.34,2.150657920468761,1
0.35000000000000003,2.3463267695555112,1
0.36,2.541995618642261,1
0.37,2.6853800199577456,1
0.38,2.724195525730697,1
0.39,2.763011031503649,1
0.4,2.8018265372766002,1
0.41000000000000003,2.9035437629656267,1
0.42,3.005260988654654,1
0.43,3.1069782143436813,1
0.44,3.2189355235125747,1
0.45,3.336012874421403,1
0.46,3.453090225330231,1
0.47000000000000003,3.550805487207074,1
0.48,3.6097965710199484,1
0.49,3.668787654832823,1
0.5,3.7277787386456978,1
0.51,3.752973519914945,1
0.52,3.7781683011841922,1
0.53,3.8033630824534397,1
0.54,3.84459762032878,1
0.55,3.8938520365071665,1
0.56,3.9431064526855533,1
0.5700000000000001,3.97605587364877,1
0.58,3.976395304181646,1
0.59,3.9767347347145225,1
0.6,3.977074165247399,1
0.61,4.064141266700279,1
0.62,4.151208368153159,1
0.63,4.238275469606037,1
0.64,4.284349213786124,1
0.65,4.309926279329813,1
0.66,4.335503344873502,1
0.67,4.389287553394551,1
0.68,4.499486047870319,1
0.6900000000000001,4.609684542346087,1
0.7000000000000001,4.719883036821855,1
0.71,4.802424051778143,1
0.72,4.884965066734432,1
0.73,4.967506081690721,1
0.74,5.078676768480438,1
0.75,5.204162291186869,1
0.76,5.3296478138933,1
0.77,5.428967487716955,1
0.78,5.475955463775059,1
0.79,5.522943439833163,1
0.8,5.569931415891267,1
0.81,5.573384654604347,1
0.8200000000000001,5.5768378933174265,1
0.8300000000000001,5.580291132030507,1
0.84,5.648483612079289,1
0.85,5.749045712795924,1
0.86,5.849607813512558,1
0.87,5.973015627741623,1
0.88,6.142114868995546,1
0.89,6.3112141102494705,1
0.9,6.480313351503396,1
0.91,6.484600883518482,1
0.92,6.488888415533568,1
0.93,6.493175947548655,1
0.9400000000000001,6.651268501685191,1
0.9500000000000001,6.886263566882455,1
0.96,7.121258632079717,1
0.97,7.300958270692417,1
0.98,7.370067056135987,1
0.99,7.439175841579558,1
1.0,7.508284627023127,1
0.0,0.17506402719112002,2
0.01,0.1884778691737774,2
0.02,0.20189171115643476,2
0.03,0.21699031896967932,2
0.04,0.24219752176644693,2
0.05,0.26740472456321457,2
0.06,0.2870319576323765,2
0.07,0.2927092663825241,2
0.08,0.29838657513267175,2
0.09,0.3056160052832323,2
0.1,0.3149149306343434,2
0.11,0.32421385598545455,2
0.12,0.3436832498788678,2
0.13,0.3707804951790076,2
0.14,0.39787774047914737,2
0.15,0.44850411892645137,2
0.16,0.5085421506326211,2
0.17,0.5685801823387907,2
0.18,0.6468425928382732,2
0.19,0.7281423998033079,2
0.2,0.8094422067683424,2
0.21,0.8405155127620025,2
0.22,0.8715888187556626,2
0.23,0.8999561186054044,2
0.24,0.912087381591636,2
0.25,0.9242186445778677,2
0.26,0.9695210597801319,2
0.27,1.0977513555224787,2
0.28,1.2259816512648247,2
0.29,1.3564720979310199,2
0.3,1.4899760791623495,2
0.31,1.6234800603936788,2
0.32,1.7371000778923498,2
0.33,1.8358071225915265,2
0.34,1.9345141672907031,2
0.35000000000000003,2.0677507009934524,2
0.36,2.214799030297631,2
0.37,2.3618473596018092,2
0.38,2.448430474091208,2
0.39,2.524936052778143,2
0.4,2.6014416314650783,2
0.41000000000000003,2.6355578219222657,2
0.42,2.669674012379453,2
0.43,2.699183577245565,2
0.44,2.7010533885652226,2
0.45,2.702923199884881,2
0.46,2.7909436261234353,2
0.47000000000000003,3.0943405896592258,2
0.48,3.397737553195019,2
0.49,3.5798810411730333,2
0.5,3.6003532284073456,2
0.51,3.620825415641658,2
0.52,3.634833176335292,2
0.53,3.6439926171234176,2
0.54,3.6531520579115435,2
0.55,3.7175052192759814,2
0.56,3.8039358688709446,2
0.5700000000000001,3.890366518465908,2
0.58,3.9097049849135583,2
0.59,3.9178614208366573,2
0.6,3.9260178567597563,2
0.61,4.018263765692662,2
0.62,4.110509674625568,2
0.63,4.192588859752297,2
0.64,4.213667702041959,2
0.65,4.23474654433162,2
0.66,4.263276530683161,2
0.67,4.310434377189399,2
0.68,4.357592223695637,2
0.6900000000000001,4.401361258764694,2
0.7000000000000001,4.440611878584177,2
0.71,4.479862498403659,2
0.72,4.5555139904782775,2
0.73,4.65846613674425,2
0.74,4.761418283010221,2
0.75,4.796696192983751,2
0.76,4.804904408440303,2
0.77,4.813112623896855,2
0.78,4.856725729008587,2
0.79,4.906239649062847,2
0.8,4.955753569117107,2
0.81,5.209973352174937,2
0.8200000000000001,5.464193135232765,2
0.8300000000000001,5.701198555717321,2
0.84,5.834917800762235,2
0.85,5.96863704580715,2
0.86,6.073662334804816,2
0.87,6.106952733684365,2
0.88,6.1402431325639135,2
0.89,6.260456614148527,2
0.9,6.496567539339891,2
0.91,6.732678464531257,2
0.92,6.916187986638316,2
0.93,7.060246456432145,2
0.9400000000000001,7.204304926225971,2
0.9500000000000001,7.253667463294381,2
0.96,7.265151627272622,2
0.97,7.276635791250864,2
0.98,7.318342963453212,2
0.99,7.365087303692912,2
1.0,7.4118316439326115,2
0.0,0.3116706137027419,3
0.01,0.3517126493028537,3
0.02,0.39175468490296544,3
0.03,0.43179672050307716,3
0.04,0.4578802943935494,3
0.05,0.46535258600450213,3
0.06,0.4728248776154549,3
0.07,0.4802971692264077,3
0.08,0.5153976102533842,3
0.09,0.555102742849698,3
0.1,0.5948078754460118,3
0.11,0.6492907874086303,3
0.12,0.7407181477870107,3
0.13,0.8321455081653913,3
0.14,0.923572868543772,3
0.15,1.0189776833905282,3
0.16,1.1159734800246353,3
0.17,1.212969276658742,3
0.18,1.3019892971950338,3
0.19,1.343154661144437,3
0.2,1.3843200250938403,3
0.21,1.4254853890432433,3
0.22,1.5398793122847312,3
0.23,1.7091946549952826,3
0.24,1.8785099977058335,3
0.25,2.047825340416385,3
0.26,2.214082409850964,3
0.27,2.380339479285543,3
0.28,2.5465965487201223,3
0.29,2.6833822193601313,3
0.3,2.780872691607383,3
0.31,2.878363163854634,3
0.32,2.9758536361018857,3
0.33,3.065701790488602,3
0.34,3.154276225231896,3
0.35000000000000003,3.2428506599751894,3
0.36,3.3083422669707305,3
0.37,3.3161268045968875,3
0.38,3.3239113422230444,3
0.39,3.3316958798492013,3
0.4,3.3394584074700053,3
0.41000000000000003,3.3472121310886687,3
0.42,3.3549658547073316,3
0.43,3.3677930163019205,3
0.44,3.411060805752065,3
0.45,3.4543285952022096,3
0.46,3.497596384652354,3
0.47000000000000003,3.5616893153311726,3
0.48,3.6414011019314967,3
0.49,3.7211128885318208,3
0.5,3.8008246751321453,3
0.51,3.8361022376952874,3
0.52,3.8713798002584294,3
0.53,3.9066573628215715,3
0.54,3.9511041298052696,3
0.55,4.007776502683042,3
0.56,4.064448875560813,3
0.5700000000000001,4.121121248438584,3
0.58,4.134798408886806,3
0.59,4.14130970059677,3
0.6,4.147820992306733,3
0.61,4.153653287663091,3
0.62,4.1577880921354335,3
0.63,4.161922896607776,3
0.64,4.166057701080119,3
0.65,4.219123107573939,3
0.66,4.291760754876351,3
0.67,4.364398402178762,3
0.68,4.428936222776053,3
0.6900000000000001,4.444875083142624,3
0.7000000000000001,4.460813943509194,3
0.71,4.476752803875765,3
0.72,4.48956412325332,3
0.73,4.500029786889111,3
0.74,4.510495450524902,3
0.75,4.520961114160694,3
0.76,4.627734778266907,3
0.77,4.734508442373121,3
0.78,4.8412821064793325,3
0.79,4.938196003786208,3
0.8,5.021963545360633,3
