cdf,request_e2e_time_normalized
0.0,0.009768156305083374
0.01,0.009793624980991483
0.02,0.009795392510838672
0.03,0.00979776492918639
0.04,0.00980037965082092
0.05,0.00981233045274172
0.06,0.009813990582235622
0.07,0.009816483761909599
0.08,0.009819984405322705
0.09,0.009833641775118581
0.1,0.009846569426651988
0.11,0.009902958280812429
0.12,0.00991942798317862
0.13,0.009925400617427733
0.14,0.009928097960001651
0.15,0.009937770420660364
0.16,0.00996315359041858
0.17,0.009972128715873252
0.18,0.009979932656527147
0.19,0.009989544605052457
0.2,0.010005252685951862
0.21,0.010022550331081567
0.22,0.010062580072010673
0.23,0.0100773513040709
0.24,0.010089299881318287
0.25,0.010129918473155787
0.26,0.010205790964663149
0.27,0.01021054164720614
0.28,0.010223299619209978
0.29,0.010231427865443066
0.3,0.010238959415348059
0.31,0.01024727859021895
0.32,0.010256307887123419
0.33,0.010268911262789698
0.34,0.01028960785430367
0.35000000000000003,0.010291998388101823
0.36,0.010295917073760891
0.37,0.010302726711736552
0.38,0.010309783733052516
0.39,0.010318288903212456
0.4,0.010329481385096267
0.41000000000000003,0.01033206368183316
0.42,0.010347107921527057
0.43,0.010355399110651739
0.44,0.010381470186344614
0.45,0.0103881159576636
0.46,0.01039979933301324
0.47000000000000003,0.010413654729214952
0.48,0.01042693971715774
0.49,0.010436582137842465
0.5,0.010492984498352013
0.51,0.010520646817905498
0.52,0.010522577783425238
0.53,0.010531970220555442
0.54,0.010545106619133063
0.55,0.010613741303257275
0.56,0.01063083241223071
0.5700000000000001,0.010649389657146326
0.58,0.01069026187283498
0.59,0.010720562783451078
0.6,0.010724694397875194
0.61,0.010737565260400794
0.62,0.010754976968324104
0.63,0.010777150542046001
0.64,0.010784636941484536
0.65,0.010804511091079789
0.66,0.010835652262734462
0.67,0.010861523841626695
0.68,0.0108728411821167
0.6900000000000001,0.010892418058448695
0.7000000000000001,0.01092441796200545
0.71,0.010961393160560865
0.72,0.010979547716551588
0.73,0.011001917937256682
0.74,0.011027629640037917
0.75,0.011066428381668825
0.76,0.01111671787112462
0.77,0.011166172206270017
0.78,0.0111726369024492
0.79,0.011202742065007374
0.8,0.01123781733908994
0.81,0.01129219091566263
0.8200000000000001,0.011422274182075953
0.8300000000000001,0.011493226398136444
0.84,0.01158236228201989
0.85,0.01163344203183886
0.86,0.01170857941192355
0.87,0.01174536130597329
0.88,0.011848551367914179
0.89,0.011937249810584982
0.9,0.012461274706372209
0.91,0.012679521624266778
0.92,0.012733833103857426
0.93,0.013618139907866618
0.9400000000000001,0.014500684049165689
0.9500000000000001,0.01729348849353955
0.96,0.021244877170051413
0.97,0.022031655213236696
0.98,0.02531772375811986
0.99,0.032280819274899085
1.0,0.04376600679778164
