cdf,request_e2e_time_normalized,replica
0.0,0.00979939900003838,0
0.01,0.009805269862585559,0
0.02,0.00981114072513274,0
0.03,0.009817011587679919,0
0.04,0.009823604192515198,0
0.05,0.00983040730551784,0
0.06,0.00983721041852048,0
0.07,0.00984180954623166,0
0.08,0.00984459362723223,0
0.09,0.009847377708232798,0
0.1,0.00985799642315992,0
0.11,0.009885067869332803,0
0.12,0.009912139315505686,0
0.13,0.009937712474308347,0
0.14,0.009949301617655608,0
0.15,0.009960890761002868,0
0.16,0.009972479904350129,0
0.17,0.00998890463633461,0
0.18,0.010006045751820902,0
0.19,0.010023186867307193,0
0.2,0.01003882471699799,0
0.21,0.010053635770501263,0
0.22,0.010068446824004538,0
0.23,0.010077235298921919,0
0.24,0.01007768481887422,0
0.25,0.01007813433882652,0
0.26,0.010086132909248827,0
0.27,0.010125585856629494,0
0.28,0.010165038804010162,0
0.29,0.010204491751390828,0
0.3,0.010225028971242478,0
0.31,0.010244935666843159,0
0.32,0.01026484236244384,0
0.33,0.010274627600230533,0
0.34,0.010280892330951492,0
0.35000000000000003,0.01028715706167245,0
0.36,0.010291211153070898,0
0.37,0.010293192770104488,0
0.38,0.01029517438713808,0
0.39,0.010297139424703894,0
0.4,0.01029906393468181,0
0.41000000000000003,0.010300988444659724,0
0.42,0.010302917375954455,0
0.43,0.010304910416342997,0
0.44,0.010306903456731539,0
0.45,0.01030889649712008,0
0.46,0.010309783733052516,0
0.47000000000000003,0.010310458314281856,0
0.48,0.010311132895511194,0
0.49,0.010315136021547034,0
0.5,0.01032124138640803,0
0.51,0.010327346751269027,0
0.52,0.010333498260641881,0
0.53,0.01033972283215851,0
0.54,0.010345947403675138,0
0.55,0.010354971969111865,0
0.56,0.010378556502933105,0
0.5700000000000001,0.010402141036754346,0
0.58,0.010425725570575589,0
0.59,0.010438950103847556,0
0.6,0.010451460154323024,0
0.61,0.010463970204798492,0
0.62,0.010479624645754788,0
0.63,0.010496565428271423,0
0.64,0.010513506210788058,0
0.65,0.010537603485122086,0
0.66,0.010569334350727998,0
0.67,0.01060106521633391,0
0.68,0.010625804952655582,0
0.6900000000000001,0.010630445192285058,0
0.7000000000000001,0.010635085431914533,0
0.71,0.010640963333512384,0
0.72,0.01068397109416149,0
0.73,0.010726978854810595,0
0.74,0.010769986615459703,0
0.75,0.010806214287601586,0
0.76,0.010840814738501736,0
0.77,0.010875415189401886,0
0.78,0.010910210090962345,0
0.79,0.010945145429110804,0
0.8,0.010980080767259263,0
0.81,0.01100928906636777,0
0.8200000000000001,0.011028084567221813,0
0.8300000000000001,0.01104688006807586,0
0.84,0.011069840262935582,0
0.85,0.011120912142333638,0
0.86,0.011171984021731696,0
0.87,0.011223055901129752,0
0.88,0.01133235988750555,0
0.89,0.01144790302820039,0
0.9,0.011563446168895233,0
0.91,0.011607951850012543,0
0.92,0.011618630169426271,0
0.93,0.011629308488839998,0
0.9400000000000001,0.011787339330110393,0
0.9500000000000001,0.012124298233635325,0
0.96,0.012461257137160252,0
0.97,0.01419126324551973,0
0.98,0.02069743119902617,0
0.99,0.027203599152532683,0
1.0,0.033709767106039124,0
0.0,0.009796596284182961,1
0.01,0.009832984604849482,1
0.02,0.009869372925516002,1
0.03,0.009905761246182521,1
0.04,0.009919604915205849,1
0.05,0.009922176258407578,1
0.06,0.009924747601609307,1
0.07,0.009929833694506843,1
0.08,0.009939949286795995,1
0.09,0.009950064879085145,1
0.1,0.009960180471374296,1
0.11,0.009972970874141767,1
0.12,0.009985761276909238,1
0.13,0.009998551679676707,1
0.14,0.010051023450584997,1
0.15,0.010123335905563698,1
0.16,0.010195648360542396,1
0.17,0.010245281942205375,1
0.18,0.010249557777236913,1
0.19,0.010253833612268452,1
0.2,0.01025810944729999,1
0.21,0.010284181521033687,1
0.22,0.010310253594767381,1
0.23,0.010336325668501078,1
0.24,0.010352944378167476,1
0.25,0.010364836405800226,1
0.26,0.010376728433432975,1
0.27,0.010386119425370523,1
0.28,0.010390508345917667,1
0.29,0.010394897266464812,1
0.3,0.010399286187011957,1
0.31,0.010405368705091523,1
0.32,0.01041145122317109,1
0.33,0.010417533741250654,1
0.34,0.01043932236617524,1
0.35000000000000003,0.010468964044522334,1
0.36,0.01049860572286943,1
0.37,0.010519574999016089,1
0.38,0.010523199470761874,1
0.39,0.01052682394250766,1
0.4,0.010530448414253445,1
0.41000000000000003,0.010560205921976281,1
0.42,0.010589963429699116,1
0.43,0.010619720937421952,1
0.44,0.010636659934276767,1
0.45,0.010647189675697572,1
0.46,0.010657719417118378,1
0.47000000000000003,0.010670450706378913,1
0.48,0.010687585091318912,1
0.49,0.01070471947625891,1
0.5,0.010721853861198909,1
0.51,0.010723996387361021,1
0.52,0.010726138913523134,1
0.53,0.010728281439685246,1
0.54,0.010738624256717556,1
0.55,0.010753067219184965,1
0.56,0.010767510181652375,1
0.5700000000000001,0.010785560436170539,1
0.58,0.010810825274790211,1
0.59,0.010836090113409885,1
0.6,0.010861354952029558,1
0.61,0.01086191791735335,1
0.62,0.010862480882677142,1
0.63,0.010863043848000936,1
0.64,0.010876147367315021,1
0.65,0.010895521163624251,1
0.66,0.010914894959933483,1
0.67,0.010980868794654626,1
0.68,0.011140042706199588,1
0.6900000000000001,0.011299216617744547,1
0.7000000000000001,0.011458390529289509,1
0.71,0.011537243788967293,1
0.72,0.01161609704864508,1
0.73,0.011694950308322865,1
0.74,0.01173108231097376,1
0.75,0.011745853685111204,1
0.76,0.011760625059248651,1
0.77,0.011832619935242901,1
0.78,0.01201906181495075,1
0.79,0.012205503694658601,1
0.8,0.012391945574366448,1
0.81,0.012495180665071833,1
