cdf,prefill_time_execution_plus_preemption,replica
0.0,0.026945600168545525,0
0.01,0.02885773563608845,0
0.02,0.030769871103631382,0
0.03,0.03268200657117431,0
0.04,0.03347990967438712,0
0.05,0.033952828338003636,0
0.06,0.03442574700162016,0
0.07,0.034776222585620645,0
0.08,0.03502586269229027,0
0.09,0.035275502798959905,0
0.1,0.03546607729241487,0
0.11,0.035532613998119016,0
0.12,0.03559915070382317,0
0.13,0.03568086221697058,0
0.14,0.035904205266255075,0
0.15,0.03612754831553957,0
0.16,0.03635089136482406,0
0.17,0.03643848055075729,0
0.18,0.03650595805323107,0
0.19,0.036573435555704845,0
0.2,0.036765591166451374,0
0.21,0.03702631973674791,0
0.22,0.03728704830704444,0
0.23,0.038915179617774506,0
0.24,0.04243663779987407,0
0.25,0.045958095981973646,0
0.26,0.04897217707615841,0
0.27,0.04987218697069816,0
0.28,0.05077219686523791,0
0.29,0.05167220675977765,0
0.3,0.05229367884940217,0
0.31,0.05290586634552952,0
0.32,0.053518053841656865,0
0.33,0.0545955835683354,0
0.34,0.055834971462162174,0
0.35000000000000003,0.057074359355988945,0
0.36,0.05866996263424596,0
0.37,0.06059951783540633,0
0.38,0.0625290730365667,0
0.39,0.0639718029076807,0
0.4,0.064224515305348,0
0.41000000000000003,0.06447722770301531,0
0.42,0.0647333206680375,0
0.43,0.06503843185970525,0
0.44,0.065343543051373,0
0.45,0.06564865424304074,0
0.46,0.06716188448550867,0
0.47000000000000003,0.06890744531466893,0
0.48,0.0706530061438292,0
0.49,0.07136722749654126,0
0.5,0.07143007654833866,0
0.51,0.07149292560013606,0
0.52,0.07180294903586443,0
0.53,0.07250433191281683,0
0.54,0.07320571478976924,0
0.55,0.07395834737073326,0
0.56,0.07497747841255774,0
0.5700000000000001,0.0759966094543822,0
0.58,0.07701574049620667,0
0.59,0.0773559376060021,0
0.6,0.07764931168600242,0
0.61,0.07794268576600275,0
0.62,0.08079556906243082,0
0.63,0.08469552431103397,0
0.64,0.08859547955963705,0
0.65,0.09230265246687923,0
0.66,0.09580419087666969,0
0.67,0.09930572928646014,0
0.68,0.10209671998551244,0
0.6900000000000001,0.10284488601619245,0
0.7000000000000001,0.10359305204687246,0
0.71,0.10432054172629143,0
0.72,0.1044277408678795,0
0.73,0.10453494000946754,0
0.74,0.10464213915105561,0
0.75,0.10471191719422812,0
0.76,0.10477271417378091,0
0.77,0.1048335111533337,0
0.78,0.1048590066608881,0
0.79,0.1048590066608881,0
0.8,0.1048590066608881,0
0.81,0.10517802501222434,0
0.8200000000000001,0.10607707672962646,0
0.8300000000000001,0.1069761284470286,0
0.84,0.10809279249315779,0
0.85,0.11067833975819459,0
0.86,0.11326388702323144,0
0.87,0.11584943428826824,0
0.88,0.13293590488120705,0
0.89,0.1515760458307066,0
0.9,0.1702161867802064,0
0.91,0.18110838974984672,0
0.92,0.18831109844336372,0
0.93,0.1955138071368808,0
0.9400000000000001,0.19986579984185682,0
0.9500000000000001,0.2007562088464617,0
0.96,0.20164661785106658,0
0.97,0.2033106914033282,0
0.98,0.20762732911898416,0
0.99,0.2119439668346402,0
1.0,0.21626060455029616,0
0.0,0.027750890835207542,1
0.01,0.02913866291347489,1
0.02,0.030526434991742235,1
0.03,0.03191420707000958,1
0.04,0.03320441164594996,1
0.05,0.034445832470726856,1
0.06,0.03568725329550375,1
0.07,0.036542837031502094,1
0.08,0.03662674658994334,1
0.09,0.03671065614838458,1
0.1,0.03679456570682582,1
0.11,0.03700120633851487,1
0.12,0.03720784697020392,1
0.13,0.03741448760189296,1
0.14,0.03780106069475551,1
0.15,0.038277600018204794,1
0.16,0.03875413934165408,1
0.17,0.039071832223953606,1
0.18,0.039071832223953606,1
0.19,0.039071832223953606,1
0.2,0.039071832223953606,1
0.21,0.039093721595382644,1
0.22,0.03911561096681169,1
0.23,0.039137500338240726,1
0.24,0.041036995647482394,1
0.25,0.04387529392563039,1
0.26,0.04671359220377838,1
0.27,0.048605791055877035,1
0.28,0.048605791055877035,1
0.29,0.048605791055877035,1
0.3,0.048605791055877035,1
0.31,0.04866248889893967,1
0.32,0.048719186742002304,1
0.33,0.048775884585064946,1
0.34,0.05026670697551197,1
0.35000000000000003,0.05247459163965118,1
0.36,0.05468247630379039,1
0.37,0.05615553298137144,1
0.38,0.05615893368583613,1
0.39,0.05616233439030083,1
0.4,0.05616573509476552,1
0.41000000000000003,0.05664535520841269,1
0.42,0.057124975322059866,1
0.43,0.05760459543570704,1
0.44,0.05897485563261284,1
0.45,0.06079043587114796,1
0.46,0.06260601610968308,1
0.47000000000000003,0.06500326546082959,1
0.48,0.06856385303719888,1
0.49,0.0721244406135682,1
0.5,0.0756850281899375,1
0.51,0.08231607609654007,1
0.52,0.08894712400314266,1
0.53,0.09557817190974519,1
0.54,0.09819583476857617,1
0.55,0.09880680510352136,1
0.56,0.09941777543846655,1
0.5700000000000001,0.10016998884525563,1
0.58,0.10120468839573249,1
0.59,0.10223938794620935,1
0.6,0.1032740874966862,1
0.61,0.10731178505858986,1
0.62,0.1113494826204935,1
0.63,0.11538718018239712,1
0.64,0.1197609553333791,1
0.65,0.12430276927890027,1
0.66,0.12884458322442144,1
0.67,0.13188328063922086,1
0.68,0.13191574499257683,1
0.6900000000000001,0.13194820934593282,1
0.7000000000000001,0.1319806736992888,1
0.71,0.13375802009166546,1
0.72,0.13553536648404219,1
0.73,0.13731271287641889,1
0.74,0.13821646230903006,1
0.75,0.13868341326175848,1
0.76,0.1391503642144869,1
0.77,0.1408022102810434,1
0.78,0.14482384657525602,1
0.79,0.14884548286946866,1
0.8,0.15286711916368123,1
0.81,0.15891646009533594,1
0.8200000000000001,0.1649658010269906,1
0.8300000000000001,0.1710151419586453,1
0.84,0.17595609592739833,1
0.85,0.1803428564147005,1
0.86,0.18472961690200265,1
0.87,0.19016161370541343,1
0.88,0.19768408314104133,1
0.89,0.20520655257666928,1
0.9,0.21272902201229726,1
0.91,0.2163304620378682,1
0.92,0.21993190206343913,1
0.93,0.22353334208901007,1
0.9400000000000001,0.2285254580667228,1
0.9500000000000001,0.23421291202050654,1
0.96,0.2399003659742902,1
0.97,0.24953906303515283,1
0.98,0.2670802463101736,1
0.99,0.2846214295851943,1
1.0,0.30216261286021506,1
0.0,0.026945600168545525,2
0.01,0.02884651932652247,2
0.02,0.03074743848449941,2
0.03,0.032376797762765364,2
0.04,0.032376797762765364,2
0.05,0.032376797762765364,2
0.06,0.032376797762765364,2
0.07,0.032376797762765364,2
0.08,0.032376797762765364,2
0.09,0.032376797762765364,2
0.1,0.032376797762765364,2
0.11,0.032376797762765364,2
0.12,0.032613188162766704,2
0.13,0.03302687136276905,2
0.14,0.033440554562771396,2
0.15,0.03402071939567097,2
0.16,0.03466747688172944,2
0.17,0.03531423436778791,2
0.18,0.03540662829436769,2
0.19,0.03540662829436769,2
0.2,0.03540662829436769,2
0.21,0.03540662829437018,2
0.22,0.03540662829437267,2
0.23,0.035440115255271465,2
0.24,0.035674523981548134,2
0.25,0.0359089327078248,2
