cdf,request_e2e_time
0.0,0.06803185889808105
0.01,0.1456998072912384
0.02,0.19646000808081623
0.03,0.27087980868024714
0.04,0.2867075399893406
0.05,0.3051447033106044
0.06,0.31982330028693384
0.07,0.32782741954082534
0.08,0.39654623832013186
0.09,0.4088980185063554
0.1,0.43553836086025194
0.11,0.4543903455865272
0.12,0.4725709623622555
0.13,0.486987192603659
0.14,0.5161181517636207
0.15,0.588333799028927
0.16,0.6689240187249164
0.17,0.8141188699317312
0.18,0.8911148941261083
0.19,0.9350692805061022
0.2,0.9548804329536239
0.21,0.9652804220060186
0.22,1.2255437412441077
0.23,1.296769521678737
0.24,1.3024158261888386
0.25,1.3855769155880022
0.26,1.4167768148975382
0.27,1.516997416564985
0.28,1.7713809598684718
0.29,1.9423021052762428
0.3,2.022973353011396
0.31,2.129607071695959
0.32,2.310724854569636
0.33,2.3691739496099533
0.34,2.4221999899699256
0.35000000000000003,2.6195131620838747
0.36,2.6638060577347265
0.37,2.6986517119094264
0.38,2.7296263964468297
0.39,2.8657005642281503
0.4,3.097175878845366
0.41000000000000003,3.1631083549610857
0.42,3.202979188859866
0.43,3.2336102149690404
0.44,3.297573847735776
0.45,3.328165488938936
0.46,3.350002133707173
0.47000000000000003,3.368730109508097
0.48,3.40458545915888
0.49,3.519590198999311
0.5,3.551124519623002
0.51,3.6161460585594383
0.52,3.657570292725384
0.53,3.709163639637955
0.54,3.7736602415984675
0.55,3.8110298581788875
0.56,3.927195584685708
0.5700000000000001,3.951475341001498
0.58,3.976689477310734
0.59,3.979604769425116
0.6,4.115221933505586
0.61,4.140146969933817
0.62,4.163399612490268
0.63,4.189649194279094
0.64,4.2115957055840285
0.65,4.259425097329715
0.66,4.296998499396958
0.67,4.357887778392177
0.68,4.399702648696357
0.6900000000000001,4.462521678548828
0.7000000000000001,4.517223377148287
0.71,4.562466798897488
0.72,4.708928699364373
0.73,4.771088105647397
0.74,4.813816185221595
0.75,4.915845203729896
0.76,4.976171984914497
0.77,5.158111830130808
0.78,5.2793610597386635
0.79,5.29691423931304
0.8,5.35242119099971
0.81,5.412555613300387
0.8200000000000001,5.516373618690847
0.8300000000000001,5.576062315077533
0.84,5.676833808725036
0.85,5.74767752590928
0.86,5.880354908972139
0.87,5.970696037921746
0.88,6.055222327243433
0.89,6.2002548602686565
0.9,6.351731782037936
0.91,6.486715744607774
0.92,6.494115604123251
0.93,6.526230178935283
0.9400000000000001,6.769335752730025
0.9500000000000001,7.122503407134439
0.96,7.27824803592619
0.97,7.343241686347281
0.98,7.407764103234055
0.99,7.482242321588313
1.0,9.247624721995663
