cdf,request_e2e_time,replica
0.0,0.1348390684241565,0
0.01,0.19373319075262416,0
0.02,0.2526273130810918,0
0.03,0.31152143540955946,0
0.04,0.3460417342182251,0
0.05,0.37345300116694846,0
0.06,0.4008642681156718,0
0.07,0.506644112740105,0
0.08,0.6769627860386516,0
0.09,0.8472814593371983,0
0.1,0.9906001494119139,0
0.11,1.0772188747165838,0
0.12,1.1638376000212536,0
0.13,1.243986817689839,0
0.14,1.2637539640883,0
0.15,1.283521110486761,0
0.16,1.3032882568852222,0
0.17,1.3345445577208057,0
0.18,1.3675029555100366,0
0.19,1.4004613532992678,0
0.2,1.4129442236962064,0
0.21,1.4141655540273836,0
0.22,1.415386884358561,0
0.23,1.5269549742529964,0
0.24,1.791310885081173,0
0.25,2.0556667959093504,0
0.26,2.2727821535765225,0
0.27,2.293061873072842,0
0.28,2.3133415925691607,0
0.29,2.33362131206548,0
0.3,2.3457804810855563,0
0.31,2.357668965089758,0
0.32,2.3695574490939597,0
0.33,2.4990606135538362,0
0.34,2.6694732320852514,0
0.35000000000000003,2.839885850616666,0
0.36,2.960563134305689,0
0.37,3.0346135415799678,0
0.38,3.1086639488542467,0
0.39,3.1636490704383013,0
0.4,3.17203016033514,0
0.41000000000000003,3.180411250231979,0
0.42,3.189117951957971,0
0.43,3.202546025206682,0
0.44,3.2159740984553924,0
0.45,3.2294021717041033,0
0.46,3.2560671594279507,0
0.47000000000000003,3.285277707627786,0
0.48,3.3144882558276216,0
0.49,3.328797468707131,0
0.5,3.3336953119106454,0
0.51,3.3385931551141597,0
0.52,3.3493171936059714,0
0.53,3.3692660413042534,0
0.54,3.389214889002536,0
0.55,3.4206888883037596,0
0.56,3.5120936759402794,0
0.5700000000000001,3.603498463576798,0
0.58,3.6949032512133164,0
0.59,3.8199679338655685,0
0.6,3.9473539885878712,0
0.61,4.074740043310175,0
0.62,4.130426232219876,0
0.63,4.156780657842602,0
0.64,4.183135083465329,0
0.65,4.212754486066488,0
0.66,4.245856530777974,0
0.67,4.27895857548946,0
0.68,4.335082439643455,0
0.6900000000000001,4.457394034694657,0
0.7000000000000001,4.579705629745861,0
0.71,4.703878667589552,0
0.72,4.883894989207876,0
0.73,5.0639113108261995,0
0.74,5.243927632444524,0
0.75,5.281234328619094,0
0.76,5.284290714687165,0
0.77,5.287347100755236,0
0.78,5.293148135553406,0
0.79,5.300931416656648,0
0.8,5.308714697759891,0
0.81,5.320828423392125,0
