cdf,prefill_e2e_time
0.0,0.026945600168545525
0.01,0.026945600168545525
0.02,0.028926841699841076
0.03,0.032041973721615734
0.04,0.032376797762765364
0.05,0.032376797762765364
0.06,0.032376797762765364
0.07,0.032376797762765364
0.08,0.03463932317228682
0.09,0.03483137599358095
0.1,0.03531042709817882
0.11,0.03540662829436769
0.12,0.03546725711336279
0.13,0.035871979134287954
0.14,0.03620884796995185
0.15,0.03638646769059086
0.16,0.03654127102090485
0.17,0.03664622550830494
0.18,0.037536357924796274
0.19,0.03801800578722373
0.2,0.039071832223953606
0.21,0.039071832223953606
0.22,0.039071832223953606
0.23,0.039217653032325724
0.24,0.040180172934207545
0.25,0.04240806350686377
0.26,0.04380736042222509
0.27,0.04537080153557653
0.28,0.04752702803432897
0.29,0.048605791055877035
0.3,0.048795103640746615
0.31,0.048797981612695746
0.32,0.048798108003555496
0.33,0.049537211382851755
0.34,0.05128943931162393
0.35000000000000003,0.0523634085916285
0.36,0.05461431110690625
0.37,0.056142647371135085
0.38,0.05657837987952973
0.39,0.05775899876543647
0.4,0.05910640401351373
0.41000000000000003,0.060649190159201394
0.42,0.06384429376670411
0.43,0.0643941323478976
0.44,0.06471332619433724
0.45,0.06841785230127825
0.46,0.07180136021799541
0.47000000000000003,0.0732918109280904
0.48,0.07422274048562272
0.49,0.07568502818993872
0.5,0.0757085127189212
0.51,0.07573199724791052
0.52,0.07711934560600185
0.53,0.07810009953819338
0.54,0.07834901612790887
0.55,0.0784128292479096
0.56,0.08582617023491496
0.5700000000000001,0.08971723505800158
0.58,0.09092342704337966
0.59,0.09321360245748152
0.6,0.09798069355160806
0.61,0.0992549647701312
0.62,0.10136322035053254
0.63,0.10328451745861401
0.64,0.1044139087205778
0.65,0.10477075298089211
0.66,0.1048590066608881
0.67,0.1048590066608952
0.68,0.10890563773727335
0.6900000000000001,0.11649870996260762
0.7000000000000001,0.11826026609592083
0.71,0.12116803523232547
0.72,0.1315351733001003
0.73,0.13506101366908776
0.74,0.13787432606024638
0.75,0.14115288905685341
0.76,0.1463973884071305
0.77,0.14677428313488988
0.78,0.1529353932547944
0.79,0.15417302328648003
0.8,0.15511636449067936
0.81,0.1569867780106307
0.8200000000000001,0.15886898859401954
0.8300000000000001,0.17070181715102498
0.84,0.1752059205815197
0.85,0.1814600223239404
0.86,0.18539725221477
0.87,0.19004845425688932
0.88,0.19700809514961437
0.89,0.19896984132198794
0.9,0.2003253657797174
0.91,0.2025306367612496
0.92,0.21112077738306542
0.93,0.2171926584804923
0.9400000000000001,0.22662921328504324
0.9500000000000001,0.23000878928377447
0.96,0.24260971212751004
0.97,0.2625205318029493
0.98,0.29222408130801303
0.99,0.30163920632604585
1.0,0.3420705034087632
