Request Id,prefill_e2e_time_normalized
0,7.695595435528089e-05
3,8.10762219181692e-05
2,7.88787966320502e-05
1,7.597769342131274e-05
5,6.082061266883523e-05
6,4.620670208254264e-05
9,4.577671821078715e-05
4,5.124240229515425e-05
7,5.727825288012677e-05
8,5.5130918328546374e-05
10,4.216095486535822e-05
13,4.777515563336523e-05
11,6.575068914169315e-05
12,4.228236751286105e-05
14,6.792104414268095e-05
15,6.527030891582934e-05
18,3.827554211602552e-05
16,6.154250490366968e-05
17,5.182160912657685e-05
20,3.865352433883712e-05
22,5.6557849168274164e-05
19,4.8334670795937136e-05
24,5.057883643520801e-05
27,4.928846419167617e-05
23,6.0225107775327894e-05
26,6.893691709857974e-05
21,6.87760522557569e-05
25,0.00014300606329797794
28,4.0408265610788175e-05
29,5.52310751303473e-05
35,5.9135513770597255e-05
30,3.8191095008040566e-05
31,3.007321447382313e-05
33,6.69100419172809e-05
32,6.110864651904643e-05
40,8.605876918354708e-05
34,0.0002518198897635254
37,6.787591864688481e-05
36,4.330792037160757e-05
38,7.226305932401465e-05
41,6.305677259893817e-05
42,3.7497314739359524e-05
44,4.268789181612185e-05
43,5.7589111378831065e-05
39,4.195516417098525e-05
48,7.08651131358756e-05
49,3.0106815830777123e-05
45,5.5130918328546374e-05
46,7.218010773325862e-05
47,3.4282828630728996e-05
51,3.685022217804713e-05
54,7.580569697181571e-05
55,5.061028679499059e-05
52,4.547510145953944e-05
50,5.041300908175396e-05
53,4.375345153858187e-05
56,6.484231145616133e-05
58,5.1083276383002997e-05
60,3.6054340493057195e-05
57,5.575899057719898e-05
59,0.00010721802358836337
61,3.8095502324000856e-05
62,4.7828038254917155e-05
65,4.312564263129537e-05
66,8.146740708013348e-05
63,4.751178688395602e-05
64,5.5506236726937776e-05
73,4.9725033470040056e-05
68,4.380250249322153e-05
70,5.785484892887669e-05
67,4.716737323252673e-05
69,7.576118767913971e-05
74,7.766564632653822e-05
72,8.851329605149668e-05
71,7.446592217997516e-05
76,3.5854704056218564e-05
75,5.513091832854264e-05
78,3.609453485258123e-05
77,6.520822825912062e-05
79,1.7872183135969616e-05
82,3.873810535488806e-05
83,4.6028211227156284e-05
80,3.6014235553687834e-05
85,4.472112611343099e-05
81,6.593840649462109e-05
84,6.800523790515438e-05
86,3.231549531103264e-05
87,5.1173108985758955e-05
88,4.603601801737002e-05
92,5.177169167667139e-05
89,3.597421973640596e-05
93,7.494991491748413e-05
90,4.61889268871427e-05
91,5.525269263213243e-05
96,0.0003354458884257764
94,4.370451031762148e-05
95,6.742276540145602e-05
99,3.6389057106205995e-05
98,5.0659664296545015e-05
97,4.911944626439011e-05
101,3.6379709822796256e-05
102,6.206327332521445e-05
100,4.841912210574595e-05
103,3.8695768627724254e-05
105,4.612359650326548e-05
104,6.651774255157263e-05
106,6.783393362436875e-05
110,5.805389877938508e-05
107,3.814903433071111e-05
109,7.08211421408418e-05
112,5.507300770004627e-05
113,4.886026262333479e-05
111,0.00016849564626065022
115,3.826099610889639e-05
108,5.7089047814641354e-05
116,3.208945827160816e-05
114,3.014049235855204e-05
119,4.6159345732076956e-05
118,3.6014235553687834e-05
123,4.564825221019062e-05
120,7.117428684113255e-05
117,4.231445709653082e-05
121,6.201430821805452e-05
124,6.137114849911977e-05
122,6.918016976009667e-05
125,8.345108340756477e-05
127,5.667610949990034e-05
126,5.601212870689515e-05
