cdf,request_model_execution_time_normalized
0.0,0.009768156305082501
0.01,0.009793624980990621
0.02,0.009795392510838503
0.03,0.009797764929187432
0.04,0.009800379650821606
0.05,0.009812330452741196
0.06,0.009813990582235818
0.07,0.009816483761910385
0.08,0.009819504472241359
0.09,0.00982692212348489
0.1,0.009843074154538245
0.11,0.009902958280812548
0.12,0.009908371056952262
0.13,0.009921157442048282
0.14,0.009925985367436434
0.15,0.009928772797443081
0.16,0.009934031280146116
0.17,0.009950508765282766
0.18,0.009968170728807424
0.19,0.009974875811695861
0.2,0.009983566137617209
0.21,0.009997781493320129
0.22,0.010008543363177956
0.23,0.010036710989472536
0.24,0.010070629734413196
0.25,0.010078134338825009
0.26,0.010125842070338625
0.27,0.01015478922691073
0.28,0.010198125921939158
0.29,0.010212259712032956
0.3,0.010219312141296977
0.31,0.010225986272087213
0.32,0.010236249412546286
0.33,0.010243366939008463
0.34,0.010254005893564809
0.35000000000000003,0.010263451004411141
0.36,0.0102845299165299
0.37,0.010294170394237207
0.38,0.010298194801144633
0.39,0.010305579836683091
0.4,0.010308985346878458
0.41000000000000003,0.01031230466818614
0.42,0.010326561446087188
0.43,0.010330956997217478
0.44,0.010337707265742787
0.45,0.01035619127801125
0.46,0.010385281533180229
0.47000000000000003,0.010395212338662847
0.48,0.010400459092155007
0.49,0.01041638345523202
0.5,0.010427281785925925
0.51,0.01043180209947182
0.52,0.010469377626586153
0.53,0.0105131576128588
0.54,0.010524278792544705
0.55,0.01053462110895295
0.56,0.010561463200887756
0.5700000000000001,0.010630423388505578
0.58,0.01063568571953706
0.59,0.010654827621569517
0.6,0.010689822582429951
0.61,0.010713741956509872
0.62,0.010727138759064773
0.63,0.010757893657163389
0.64,0.010777466948260657
0.65,0.010786149330475869
0.66,0.010799402924173765
0.67,0.010843596681591627
0.68,0.010862030510418404
0.6900000000000001,0.010880048441372418
0.7000000000000001,0.010893486488107989
0.71,0.010927226915744177
0.72,0.010932384721129604
0.73,0.010954388540318926
0.74,0.011001787267035516
0.75,0.011032678306868507
0.76,0.011061721180166344
0.77,0.011131628287003889
0.78,0.011155236999966525
0.79,0.011170041101507981
0.8,0.01118278517082263
0.81,0.011236842975887939
0.8200000000000001,0.01127986326407944
0.8300000000000001,0.011433613035272502
0.84,0.01151616709225484
0.85,0.011630573927503858
0.86,0.011675685608187672
0.87,0.011712960098331775
0.88,0.01175865554269908
0.89,0.011888769940675937
0.9,0.012461274706372129
0.91,0.012679521624267042
0.92,0.012733833103859157
0.93,0.013618139907865106
0.9400000000000001,0.01450068404916642
0.9500000000000001,0.017293488493540458
0.96,0.021125560159735542
0.97,0.02203165521323295
0.98,0.02531772375811962
0.99,0.032280819274906676
1.0,0.043766006797780005
