cdf,prefill_time_execution_plus_preemption_normalized
0.0,1.7872183135969616e-05
0.01,3.008228684020071e-05
0.02,3.012500115577558e-05
0.03,3.089827426091112e-05
0.04,3.2107541234762116e-05
0.05,3.3554218371847715e-05
0.06,3.592880377793475e-05
0.07,3.600983381378683e-05
0.08,3.602065234398693e-05
0.09,3.607162406765253e-05
0.1,3.629415733173175e-05
0.11,3.63887766877037e-05
0.12,3.685617663155725e-05
0.13,3.712774402684231e-05
0.14,3.746942548312566e-05
0.15,3.75508369175831e-05
0.16,3.760775405248698e-05
0.17,3.793371669343588e-05
0.18,3.8141539849771676e-05
0.19,3.820018215115182e-05
0.2,3.826681451174804e-05
0.21,3.852879020530929e-05
0.22,3.8693233970391025e-05
0.23,3.875032831726046e-05
0.24,3.895268452594957e-05
0.25,3.9326480055856214e-05
0.26,3.971792983632942e-05
0.27,4.242275316521222e-05
0.28,4.293303227261902e-05
0.29,4.360610281094604e-05
0.3,4.375835663404583e-05
0.31,4.4421364110759156e-05
0.32,4.5585917939956195e-05
0.33,4.576515627073346e-05
0.34,4.6029616449394754e-05
0.35000000000000003,4.607542833602298e-05
0.36,4.614933594800974e-05
0.37,4.6188631075592044e-05
0.38,4.64564765815385e-05
0.39,4.734991246778425e-05
0.4,4.755294750523343e-05
0.41000000000000003,4.7858450797582736e-05
0.42,4.836338424127213e-05
0.43,4.868821782147514e-05
0.44,4.897592490667166e-05
0.45,4.9313480686994685e-05
0.46,5.05166042719662e-05
0.47000000000000003,5.091399014274279e-05
0.48,5.108107542686049e-05
0.49,5.118904644691987e-05
0.5,5.150704698591282e-05
0.51,5.1810128113098594e-05
0.52,5.2347761098873824e-05
0.53,5.509095999488014e-05
0.54,5.513091832854481e-05
0.55,5.5130918328546374e-05
0.56,5.5233669230561516e-05
0.5700000000000001,5.5351574829106514e-05
0.58,5.567305426811017e-05
0.59,5.5994409037816414e-05
0.6,5.65815012345994e-05
0.61,5.687019050782862e-05
0.62,5.7229059563100556e-05
0.63,5.752421880551413e-05
0.64,5.766351789284384e-05
0.65,5.7964326346656305e-05
0.66,5.841278051972106e-05
0.67,6.027870321574356e-05
0.68,6.092430485491126e-05
0.6900000000000001,6.127402276649264e-05
0.7000000000000001,6.15253692632147e-05
0.71,6.163057084418563e-05
0.72,6.203585286520489e-05
0.73,6.255673173054854e-05
0.74,6.305080285023367e-05
0.75,6.368099846766086e-05
0.76,6.524051020060916e-05
0.77,6.579810600307483e-05
0.78,6.629794475090935e-05
0.79,6.663758624473591e-05
0.8,6.689838725361976e-05
0.81,6.735611134851325e-05
0.8200000000000001,6.758117001195513e-05
0.8300000000000001,6.780994256384453e-05
0.84,6.789316877682105e-05
0.85,6.800102821703071e-05
0.86,6.881144252117792e-05
0.87,6.905611090272304e-05
0.88,7.042730876946298e-05
0.89,7.21825962809813e-05
0.9,7.29239181808028e-05
0.91,7.474179804035528e-05
0.92,7.563138403727482e-05
0.93,7.582461658126038e-05
0.9400000000000001,7.621554111036339e-05
0.9500000000000001,7.683263326830711e-05
0.96,7.79534244240891e-05
0.97,7.92963074364128e-05
0.98,8.125616709267277e-05
0.99,8.267124124307374e-05
1.0,8.416141115561544e-05
