Request Id,request_execution_time_normalized
0,0.010778310698165981
3,0.012623042681052282
2,0.009904618937994733
1,0.010530448414253383
5,0.01435784773600021
6,0.009928559432450502
9,0.00997397527768529
4,0.010238415276624278
7,0.010629640106662723
8,0.010330750923795234
10,0.009825632303328533
13,0.010125562175633346
11,0.01070654838065393
12,0.010338609790742585
14,0.011635164341421719
15,0.010863231503108773
18,0.01025810944730085
16,0.01053535746684111
17,0.010077046790555618
20,0.009816760873453127
22,0.012736062543386361
19,0.010269979574212607
24,0.01051575883875653
27,0.010631648521644404
23,0.010841840369130683
26,0.011721234728216793
21,0.011873207807675201
25,0.011667414636109836
28,0.010222220074135362
29,0.010302788792703962
35,0.021338928999871252
30,0.01042731641845161
31,0.009987561650470033
33,0.012722128546341333
32,0.010728995615071847
40,0.010792562756911232
34,0.010214181962071477
37,0.011243797313820506
36,0.010413138454480473
38,0.010008908993981153
41,0.010861354952030071
42,0.009849263698588562
44,0.013526715344837173
43,0.010467602154937613
39,0.010202874608903708
48,0.010938206044569666
49,0.009818337266319992
45,0.010294210616573072
46,0.010399286187012642
47,0.010511988946151124
51,0.009811657134819811
54,0.010800904424304564
55,0.01104629308624013
52,0.01038465645185617
50,0.010309217955243248
53,0.010064706297974037
56,0.010656111868171104
58,0.011028140047077967
60,0.009796596284183917
57,0.010427247153400241
59,0.01063776548814843
61,0.009793493899831163
62,0.01019208213852973
65,0.018671818498174838
66,0.011770472642009274
63,0.009980902462381992
64,0.010139556910897336
73,0.011257637203881824
68,0.012391945574366351
70,0.011705009963736366
67,0.010078496854914807
69,0.011190302406646912
74,0.010685641132873958
72,0.010433141978218116
71,0.010777138823297476
76,0.009828631885087502
75,0.010290188382986626
78,0.009924296089629532
77,0.010893882202796853
79,0.010721853861198487
82,0.009814241677610023
83,0.022677286299359906
80,0.009969471468388762
85,0.010308054913419299
81,0.010889925055908209
84,0.011075962497636696
86,0.010351168012038617
87,0.011458390529284282
88,0.010386144740722978
92,0.01055216635010026
89,0.009813580900309482
93,0.028417367731446316
90,0.00992646183040761
91,0.010311394023726092
96,0.009932826732302063
94,0.010232398987518746
95,0.010253105113476409
99,0.010400507963202604
98,0.010029269198605048
97,0.00991789068640249
101,0.009936590944314727
102,0.010960998292103834
100,0.01000281514726122
103,0.009793979385606931
105,0.011416394776721944
104,0.011169317950551544
106,0.014733732770648135
110,0.043766006797780005
107,0.009799399000039153
109,0.021880210884388355
112,0.03370976710604952
113,0.011543356063064515
111,0.009905364858178504
115,0.0103310887490776
108,0.010243856663859647
116,0.010324403230298193
114,0.009768156305082501
119,0.0099601804713792
118,0.009798039055793196
123,0.011171509317086204
120,0.01114642552215213
117,0.011002619695095346
121,0.010757699261545873
124,0.011154338215886631
122,0.010927810824140982
125,0.010927107320048444
127,0.010296580696002167
126,0.010218989037648268
