cdf,decode_time_execution_plus_preemption_normalized
0.0,0.00647535594740134
0.01,0.007993014309005427
0.02,0.009352805017915114
0.03,0.009364695501745832
0.04,0.009407181959452348
0.05,0.009446741679060055
0.06,0.009483173991671633
0.07,0.00953247497527012
0.08,0.009560986981271195
0.09,0.009575860491252275
0.1,0.009581074503297779
0.11,0.00961148962853052
0.12,0.00962139199705124
0.13,0.009642486169892953
0.14,0.009650345309426722
0.15,0.009680852774413199
0.16,0.009683227672877007
0.17,0.009684629464191982
0.18,0.00969353480661063
0.19,0.009697494688060672
0.2,0.00969921509113384
0.21,0.009706765200503679
0.22,0.009710086902163687
0.23,0.00971506693484767
0.24,0.009719498506951252
0.25,0.009723861679284978
0.26,0.009727171186191456
0.27,0.009733806173355534
0.28,0.009752250093237927
0.29,0.009770495780481846
0.3,0.009774625374124782
0.31,0.009787367976258423
0.32,0.009814302435229943
0.33,0.009823294077045887
0.34,0.009837337772078163
0.35000000000000003,0.009846140267302302
0.36,0.009855477976282707
0.37,0.009891685707803213
0.38,0.009926379886644273
0.39,0.009937957180988605
0.4,0.009972674454125164
0.41000000000000003,0.009981836337576247
0.42,0.010003054384307127
0.43,0.010027963867679644
0.44,0.010043515104807305
0.45,0.010054463935973826
0.46,0.01005631389129361
0.47000000000000003,0.01006853545678633
0.48,0.01008065582679517
0.49,0.010082617153066242
0.5,0.010090893313318312
0.51,0.010111502337029128
0.52,0.01011994999010804
0.53,0.010123361854561589
0.54,0.010131857740042825
0.55,0.010143810382043327
0.56,0.010148998191807384
0.5700000000000001,0.01015404278290793
0.58,0.010158314157938586
0.59,0.010160390031879542
0.6,0.01016393315309402
0.61,0.010177725046422281
0.62,0.010213052289803218
0.63,0.010251309897621425
0.64,0.010263673369366292
0.65,0.01027748497555776
0.66,0.010287439962334045
0.67,0.01031130407991864
0.68,0.010338493502927256
0.6900000000000001,0.010341962333462804
0.7000000000000001,0.010349706895513578
0.71,0.010375986453407978
0.72,0.01039303710804049
0.73,0.010403804752437464
0.74,0.010411293947241796
0.75,0.010412291411404364
0.76,0.01042046065092678
0.77,0.010433578411189153
0.78,0.010450529920393047
0.79,0.010469564511788624
0.8,0.010505267893333567
0.81,0.010524124256890137
0.8200000000000001,0.010535963511773924
0.8300000000000001,0.010564363828240367
0.84,0.010580290589610259
0.85,0.010592906008577095
0.86,0.01061642632198478
0.87,0.01064857528789805
0.88,0.010691346423762375
0.89,0.010761860408867705
0.9,0.010768136763410601
0.91,0.010795679077709062
0.92,0.010860370719447227
0.93,0.010901721421002663
0.9400000000000001,0.010934419605420452
0.9500000000000001,0.010999229116217679
0.96,0.01134438015190362
0.97,0.011571022173026257
0.98,0.011767717135461257
0.99,0.01354629510188849
1.0,0.017276395918747665
